,MC0,MC1,MC2,MC3,MC4,MC5,MC6,MC7,MC8
1-12B-rep1,0.0001247465342127,4.529022271167628e-06,7.278985665884383e-06,2.804251902771719e-06,0.3454979831968984,1.4761188731866737e-06,7.80578245126647e-07,0.6543566863903555,3.7149215750627086e-06
1-12B-rep2,2.1261507460551447e-06,1.880362203537142e-06,3.0220936676226474e-06,1.1642709996675765e-06,0.367488247774436,0.0126654914884144,3.2408094753331637e-07,0.6198362014152006,1.5423633845482677e-06
1-12C-rep1,5.668223971519629e-06,5.012962574269069e-06,8.056768224350579e-06,3.1038950563149378e-06,0.388241477859592,1.6338468268448812e-06,8.639854906475644e-07,0.6117300705856109,4.11187265310862e-06
1-12C-rep2,2.0950390164580576e-06,1.8528470706005084e-06,2.9778717039737417e-06,1.1472343504146509e-06,0.3634321973685713,6.038880725876702e-07,3.193387067369233e-07,0.6365572866183568,1.5197941510874954e-06
1-1A-rep1,2.0531390824356112e-06,0.4720306509235533,2.918315472827863e-06,1.1242901268402734e-06,0.5279587914176117,5.918105550810304e-07,3.129520616014492e-07,2.067752654284735e-06,1.489398881997985e-06
1-1A-rep2,1.0849369595206065e-06,0.475500864493765,1.542120718025491e-06,5.941068105264986e-07,0.5244935565396789,3.1272949296748466e-07,1.6537275097155036e-07,1.092659185620806e-06,7.870406385871137e-07
1-1B-rep1,3.5264296413006277e-06,0.1742288892216331,5.012438891299113e-06,1.9310576972739108e-06,0.8257529771597644,1.0164816895875212e-06,5.37520051991948e-07,3.551529613034102e-06,2.558161017989597e-06
1-1B-rep2,1.1474611006178656e-06,0.1484701352066248,1.6309920321757958e-06,6.283447611486388e-07,0.8514167470408047,3.3075187000238e-07,8.058785868539883e-05,2.795994689343682e-05,8.323972277460278e-07
1-1C-rep1,3.0454988582915972e-06,0.8232563430995155,4.328847722331879e-06,1.667702069953631e-06,0.1767279963258047,8.778549808160492e-07,4.6421362997803875e-07,3.0671757221547464e-06,2.209281696242757e-06
1-1C-rep2,1.0088466442636218e-06,0.8266841777632598,1.4339665524132e-06,5.524400813100309e-07,0.1733106345420643,2.907967110659746e-07,1.537745980596059e-07,1.0160272844096389e-06,7.318428044782882e-07
1-2A-rep1,1.5234767403717848e-06,0.0076171626092332,3.775337938616486e-05,0.5118975004228132,0.4804427492682083,4.391371354652201e-07,2.3221767623049377e-07,1.534320349066565e-06,1.1051684580315477e-06
1-2A-rep2,2.131656050323792e-06,0.0136456584678364,3.029918863084204e-06,0.5464990186484459,0.4398455287603416,6.144428115836246e-07,3.249200998028123e-07,2.14682848024611e-06,1.5463570711391708e-06
1-2B-rep1,0.1316877427338574,4.965623464978714e-06,7.980685423841101e-06,3.0745839204108142e-06,0.7860482831514621,1.6184178559810826e-06,8.558265820259476e-07,0.082241405934591,4.0730428421874975e-06
1-2B-rep2,0.0965189289435923,0.0001186290630885,3.542124513979642e-06,1.3646145031905238e-06,0.8274429315429503,7.183139363453133e-07,3.7984761394723475e-07,0.0759116977821558,1.8077676454584313e-06
1-2C-rep2,2.3464057423900243e-06,2.0751551508466164e-06,0.1088037177779249,1.2848816878985875e-06,0.8544071104202491,6.763437005942369e-07,3.576535660522968e-07,0.0367259179441864,5.651341779180684e-05
1-3A-rep1,5.19182875187796e-06,4.591639878019978e-06,7.379623868882827e-06,0.6573373698821365,0.217473809205626,1.4965274792244415e-06,7.913704070424763e-07,0.1251656036383088,3.766283543440625e-06
1-3A-rep2,3.879922101693593e-06,3.4313930403238686e-06,5.514890247623695e-06,0.6084262859429166,0.310616544123054,1.11837472303655e-06,5.914015426259448e-07,0.0809398193590082,2.814593365806692e-06
1-3B-rep2,3.1756288686906125e-06,2.808517932336848e-06,4.513813478463798e-06,0.0031915502857314,0.1526779558345671,9.153645262461536e-07,0.8118445570977666,0.0322722197758406,2.3036812883896067e-06
1-3C-rep1,4.725336628217128e-06,4.17907545416287e-06,6.716555694847214e-06,0.6473949444501105,0.352579165406215,1.3620626662916804e-06,7.20264814114349e-07,4.758970027395243e-06,3.4278783894083488e-06
1-3C-rep2,3.897584731826267e-06,3.447013824587711e-06,5.539995768846285e-06,2.1343006277574426e-06,1.485352842844149e-05,0.999962780750082,5.940937891281967e-07,3.925326463988425e-06,2.8274062832548073e-06
1-3C-rep3,2.2893122845163406e-06,2.02466184483146e-06,3.2540101735891348e-06,0.61365661319528,0.386330843650946,6.598867000506413e-07,3.4895103074994946e-07,2.3056068599014497e-06,1.6607248803904753e-06
1-4A-rep1,3.4372383954738937e-06,0.011163735231559,4.885663167743076e-06,8.217498923427496e-05,0.3243156064048564,0.0039353366142995,5.239249748259307e-07,0.6604918064740742,2.493459438367062e-06
1-4A-rep3,2.406825644848566e-06,2.128590355822198e-06,3.4210427242114253e-06,1.3179673664967502e-06,0.4021136736050626,6.937595377958321e-07,3.668631384567771e-07,0.5978742453741334,1.7459720363167138e-06
1-4B-rep3,1.0496107021919706e-06,9.282729818155008e-07,0.0103483263472482,5.747623040229799e-07,0.8148049528093614,3.0254681604245425e-07,1.5998810598853978e-07,0.1748429442483998,7.614140803960209e-07
1-4C-rep1,4.270452522173881e-06,3.776777130969882e-06,6.06998706422396e-06,2.338481425293705e-06,0.0908943399684082,1.2309438260737845e-06,6.509285864842704e-07,0.9090842245670522,3.097893984174705e-06
1-4C-rep2,9.489573469324402e-07,8.392554155679623e-07,1.3488403841211614e-06,5.196449597964056e-07,3.616435792900605e-06,0.9999909381108848,1.4464590374561846e-07,9.557117146661155e-07,6.883975974527169e-07
1-4C-rep3,1.8873956028847677e-06,1.669207774364775e-06,2.682729016444324e-06,1.0335297106359751e-06,0.1188269080059855,0.0035276598862967,2.8768842307536264e-07,0.8776365023928093,1.3691643809584166e-06
1-5A-rep1,4.449323433490662e-06,0.0375243797115716,6.324232747139575e-06,2.43643036664541e-06,0.248732812874444,1.282502775109354e-06,6.781931887394232e-07,0.7137244090800178,3.227651455364204e-06
1-5A-rep2,1.2358409325032855e-06,1.0929745143306048e-06,1.7566144184445234e-06,6.767411767887844e-07,4.709736846533664e-06,0.9999881985702196,1.883744608180921e-07,1.2446372436814842e-06,8.965101872271558e-07
1-5A-rep3,2.0388624443304917e-06,0.030673697002371,2.8980227735954713e-06,1.116472301246589e-06,0.2732924390248917,5.876953613301721e-07,3.1077592878806233e-07,0.6960254331016794,1.4790422485802285e-06
1-5B-rep1,5.274996060953295e-06,4.6651928303895634e-06,7.497837216913827e-06,0.0056711095039412,0.3089381439484118,1.520500181205294e-06,8.040472787924871e-07,0.6853671573588712,3.8266152073864695e-06
1-5B-rep2,1.3653198804927197e-06,1.207485360000796e-06,1.9406547596740068e-06,7.476432915571106e-07,0.0014085140455644,0.9985836512654442,2.081104368432579e-07,1.375037780434962e-06,9.904374822786765e-07
1-5B-rep3,2.5681044453331757e-06,0.0019219539626825,3.650283121474242e-06,1.406282943655988e-06,0.2860425148643407,7.402476190242956e-07,3.91446243194325e-07,0.7120249118408575,1.8629677465375712e-06
1-5C-rep1,4.326998106640226e-06,3.82678589916504e-06,6.150360505789581e-06,2.369445544030614e-06,0.8283447183131056,1.2472429039183849e-06,6.595476115588937e-07,0.1716335623927456,3.1389135775410687e-06
1-5C-rep2,1.3665838467891234e-06,1.2086032085139897e-06,1.9424513512597815e-06,7.483354340621473e-07,0.0001328998113137,0.9178172646532796,2.083030983446819e-07,0.0820433699040723,9.913543953143555e-07
1-5C-rep3,2.266645131530461e-06,2.0046150735404203e-06,3.221791263604149e-06,1.2412051206035089e-06,0.896631660505406,6.533529681152645e-07,3.454959641554589e-07,0.1033569621075167,1.644281555822713e-06
1-6A-rep1,2.754498069785061e-06,2.436070946403866e-06,3.9152215286809835e-06,6.585253136019722e-05,0.9999190555595572,7.939749652592017e-07,4.198575035617351e-07,2.7741036853010465e-06,1.998182383599986e-06
1-6A-rep2,1.876639524737264e-06,1.6596951267576458e-06,2.6674404129817825e-06,1.0276397285260371e-06,0.0335429843698357,0.9630707447054524,0.0033757881514379,1.8899968305156527e-06,1.3613616505420386e-06
1-6A-rep3,2.3256280281615455e-06,2.056779394290494e-06,3.3056290811895538e-06,1.2735039009940223e-06,8.862868778247674e-06,6.703545931362639e-07,0.9999774759859,2.3421810871211743e-06,1.6870692369159616e-06
1-6B-rep1,0.000460277237394,4.310393855925306e-06,6.927608921540486e-06,2.668882917428843e-06,0.9951888915501416,1.4048625377942482e-06,7.428975770956914e-07,4.908510361109573e-06,0.0043298680562935
1-6B-rep2,1.7726642091325777e-06,1.5677396273996396e-06,2.519650730871519e-06,9.707032931089215e-07,0.9999893168603936,5.109645997944353e-07,2.702003597910374e-07,1.785281452653069e-06,1.2859353337660225e-06
1-6C-rep2,1.6794078956361384e-06,1.485263985695838e-06,2.3870969526380957e-06,9.196365371221872e-07,0.96962553158454,4.840837756324078e-07,2.559856600584503e-07,0.0303660386558016,1.2182848515122436e-06
1-7A-rep1,6.078706981608072e-06,0.0001473726130139,8.640225492259083e-06,3.3286737863221804e-06,0.2979320751453128,0.0026996879534778,9.265538306877112e-07,0.6991974804807213,4.4096473832937906e-06
1-7A-rep2,1.7224515805978163e-06,1.523331708999593e-06,2.4482789022224256e-06,9.432070737893032e-07,0.3841790267425551,0.0028170101460589,2.625466427326977e-07,0.6129958137856512,1.2495098263848398e-06
1-7B-rep2,0.019573787357427,0.0115670274525265,3.383190538430593e-06,1.3033846940101886e-06,0.3711429992521363,0.0006678931457693,3.628039749816393e-07,0.5898690408390163,0.007174202573917
1-7C-rep1,4.1693833296935856e-06,3.687391799363185e-06,5.9263281222824496e-06,2.283136370394396e-06,0.5304314560956027,1.2018109653654883e-06,6.355229997796521e-07,0.4695476157549679,3.024575842421728e-06
1-7C-rep2,1.903847575741208e-06,1.6837578564745537e-06,2.706113719096099e-06,1.0425387401789703e-06,0.6367754046991468,5.487777716707184e-07,2.9019613376426845e-07,0.3632150389699992,1.3810990570788358e-06
1-8A-rep1,5.438289758359684e-07,4.809609352712125e-07,7.729941572548137e-07,2.977984070600398e-07,0.9999967225598392,1.567569049812416e-07,8.289375064867696e-08,5.476997724517468e-07,3.9450725746613044e-07
1-8A-rep2,8.874238850580292e-07,7.84835381534103e-07,1.2613772134957546e-06,4.859495008537831e-07,0.9999946518504716,2.557970020157303e-07,1.352665957796784e-07,8.937402777543971e-07,6.437596719925026e-07
1-8B-rep1,3.0454988582915972e-06,2.693431288760797e-06,4.328847722331879e-06,1.667702069953631e-06,0.9993413692184512,0.0005700127666076,4.6421362997803875e-07,3.0671757221547464e-06,7.335114564959798e-05
1-8B-rep2,8.393486733349649e-07,7.423177890168172e-07,1.1930434920098923e-06,4.596237217828994e-07,0.9999949415805828,2.419394811205978e-07,1.2793867691175098e-07,8.453228824127524e-07,6.088847006840775e-07
1-8C-rep1,5.647287104241029e-06,0.0126691984923188,8.02700872863283e-06,3.0924301178849645e-06,0.9698884814449534,0.0171510707911485,8.607941648214829e-07,5.687482645086978e-06,0.0002679342688184
1-8C-rep2,2.108764849402457e-06,1.864986161645017e-06,5.22574433110618e-05,1.1547505574724509e-06,0.0572974883067201,6.078444985713099e-07,0.942640864378338,2.123774347250548e-06,1.5297512165472928e-06
1-9A-rep1,2.733043704124156e-06,0.086637385816173,3.8847264649010615e-06,1.4966029720327638e-06,0.8579328249829571,0.0554165231249712,4.165872974556945e-07,2.75249661448892e-06,1.982618845551009e-06
1-9A-rep2,1.1345366459154177e-06,0.0836956061942837,1.612621315618556e-06,6.212673853677839e-07,0.8754318474576303,0.0408670393562908,1.7293303962653408e-07,1.1426119063458413e-06,8.230215022781635e-07
1-9B-rep2,1.8408892773042667e-06,0.228818332191462,2.6166252971751247e-06,1.0080630468658086e-06,0.5965817451442675,0.1745909870673619,2.805996434634815e-07,1.853992124525047e-06,1.335427519233851e-06
1-9C-rep1,4.466499741244064e-06,0.0403819755606951,6.3486470136213874e-06,2.445836038861152e-06,0.6345884699137456,0.325007874329052,6.808113069994641e-07,4.49829082419658e-06,3.2401115822906386e-06
1-9C-rep2,1.4006551926205044e-06,0.0362537248411886,1.990880089756072e-06,7.669927564296804e-07,0.681309957125852,0.2824295193132519,2.134964620143353e-07,1.4106245977466912e-06,1.0160706090494846e-06
2-10A-rep1,2.1170032626176924e-06,1.8722721929181015e-06,0.0120694211592226,0.0893123895663566,0.1972741241124829,6.102191939534228e-07,3.226866319583482e-07,0.701337607253087,1.5357275693122758e-06
2-10A-rep2,2.2667651524246433e-06,2.0047212197078418e-06,3.221961860343333e-06,0.0692610152894186,0.3224266538347156,6.533875637413546e-07,3.455142584768669e-07,0.6082492432596214,5.4595266189724954e-05
2-10C-rep1,5.280201164745133e-06,4.669796210678482e-06,0.1390159496406197,2.891415436995675e-06,0.860959733930331,1.522000535170914e-06,8.048406726626056e-07,5.3177839080473015e-06,3.8303911209787675e-06
2-10C-rep2,5.415586479814872e-07,4.789530632070493e-07,7.697671313982581e-07,2.965551852961953e-07,2.063856805415031e-06,1.5610249048040684e-07,0.9999947549330868,5.454132851468386e-07,3.928603043701805e-07
2-11B-rep1,0.1246582414735577,6.12211100528958e-07,0.0479623655748511,3.7906506984645307e-07,0.8273768972987836,1.995345365418565e-07,1.055147530495021e-07,6.971624010649942e-07,5.021649463564172e-07
2-11B-rep2,0.1000296174458474,2.2395185656901034e-06,0.0714008150713872,1.386651207062837e-06,0.8285604381795056,7.299137482083618e-07,3.859816462073267e-07,2.5502774110713687e-06,1.8369606814255675e-06
2-11C-rep2,0.3512803128418403,2.852102107361325e-06,0.0402323267212645,1.765946882704389e-06,0.6084757339625873,9.295696724066108e-07,4.91560589591041e-07,3.247863933751883e-06,2.3394311218935157e-06
2-12A-rep2,0.2410149904468766,2.7642260791993755e-06,0.0002234779492117,1.71153634894527e-06,0.2216026444295185,9.009287305202518e-07,4.764151317539194e-07,0.5371507667171193,2.2673509833108715e-06
2-12B-rep2,0.1959570584391754,0.0134456360756355,4.327924032583699e-06,1.6673462156007303e-06,0.1888529490094116,8.776676640753874e-07,4.641145760499544e-07,0.6017348106130094,2.208810279601526e-06
2-12C-rep2,0.6883856564578783,2.914904290496409e-06,4.684796249076106e-06,1.804832348707932e-06,0.2429982143286549,9.50038436358863e-07,5.023845632804148e-07,0.0686028813130902,2.390944488602886e-06
2-1A-rep1,0.0863140785045223,0.2687936240331403,8.336018088591405e-06,3.2114769364134663e-06,0.6444570132445927,1.6904764197389368e-06,8.939314719952931e-07,0.0004168979235061,4.254391321659334e-06
2-1A-rep2,0.0573107629423799,0.1994316586592641,5.364648860326044e-06,2.066747685021529e-06,0.7432419448033509,1.0879069961438818e-06,5.752900727281751e-07,3.8010856000759257e-06,2.737915790556709e-06
2-1B-rep1,0.022580749179708,0.7266465378920457,6.078476199472111e-06,2.3417518910928186e-06,0.2307758196772136,1.2326653534035554e-06,6.51838937816009e-07,0.0199834862921299,3.1022265207580354e-06
2-1B-rep2,0.0061597982942554,0.7501811789937501,3.175221490192142e-06,1.2232639703256145e-06,0.2435975867705651,6.439089982259325e-07,3.405019507483074e-07,5.4432530931642594e-05,1.620514088220065e-06
2-1C-rep1,0.0221265400262234,0.9528789957391954,4.80768662528925e-06,1.852176248963596e-06,0.0249014424548928,9.74959601475513e-07,5.155629865677417e-07,8.241773109341911e-05,2.4536631325070043e-06
2-1C-rep2,0.0135659821209552,0.8978632792014908,2.4935274363260775e-06,0.0067216052464881,0.0818428274626981,5.056670089104374e-07,2.673989700989573e-07,1.7667719693097015e-06,1.2726029829450257e-06
2-2A-rep1,4.593998693487276e-06,4.0629205254425725e-06,0.5841183575758794,2.5156539164788112e-06,0.394075679739614,1.324204940665288e-06,7.002454799193053e-07,0.0217894330584119,3.332602538481333e-06
2-2A-rep2,3.206551620024079e-06,0.0162570047658328,0.5020111935600376,1.755893869264853e-06,0.4592486694561149,9.242779071212484e-07,4.887622805015075e-07,0.0224744306189053,2.326113432250865e-06
2-2B-rep1,0.0806545230266528,4.831287630220956e-06,0.677613001799422,2.9914066919330323e-06,0.2417127806330597,1.5746345294353973e-06,8.326737636305988e-07,5.501684111265358e-06,3.962854138982689e-06
2-2B-rep2,0.1036159281457658,2.668561406102755e-06,0.6447303397556702,1.6523032903517932e-06,0.2516428538202067,8.697492791949332e-07,4.599272988011521e-07,3.0388548584965987e-06,2.1888822240997727e-06
2-2C-rep1,4.244202571586636e-06,3.753561742775722e-06,0.1654760222580914,2.3241070653062287e-06,0.8345044323027324,1.223377364570622e-06,6.469274078873147e-07,4.274411416059334e-06,3.0788516078488077e-06
2-2C-rep2,2.7975190422772836e-06,2.474118582858562e-06,3.976371194942861e-06,1.5319093897666548e-06,0.0124923462033649,8.063756183998281e-07,0.9874912206810575,2.8174308669916196e-06,2.0293908822743037e-06
2-3A-rep1,5.356176031903683e-06,4.736988186077571e-06,7.613225778426762e-06,0.4489282260880021,0.5360282035475248,1.5439000395395955e-06,8.164212282667388e-07,5.3942995394382645e-06,0.0150181093536694
2-3A-rep2,1.6016814454682989e-06,0.0076714419612359,2.2766171979476807e-06,0.4850832175998822,0.4965373604855105,4.6167938325011546e-07,2.4413811742040756e-07,0.0001138573563967,0.0105895384808305
2-3B-rep1,5.871926151846697e-06,5.193116254047328e-06,8.346308874461843e-06,0.5164342872132472,0.4835335404731848,1.6925633071076637e-06,8.950350273455075e-07,5.913720599893033e-06,4.259643353221042e-06
2-3B-rep2,3.073927903181369e-06,2.718573862302476e-06,4.369256539391227e-06,0.4782293582641524,0.5217537996690658,8.860495590502137e-07,4.685469595043853e-07,3.0958071156791783e-06,2.2299048425445973e-06
2-3C-rep1,4.259405048232839e-06,3.767006773678971e-06,6.054284273110773e-06,0.3212824018822678,0.6786942608155793,1.2277594282211386e-06,6.492446626941509e-07,4.289722098957445e-06,3.0898798678990698e-06
2-3C-rep2,2.278710469123712e-06,2.015285626804509e-06,3.238940837972733e-06,0.3258749177499903,0.6741125971836368,6.56830761801716e-07,3.4733503697133745e-07,2.2949295842575903e-06,1.6530340560678488e-06
2-4A-rep1,3.880625532748304e-06,0.0001847323186832,0.0178635957878316,2.1250138433181476e-06,0.9657108556516928,1.118577484713297e-06,5.915087639051311e-07,0.016230285412515,2.8151036524382265e-06
2-4A-rep2,1.5137797309469589e-06,1.3387828665651248e-06,0.0269829019655539,8.289392668399342e-07,0.9417860081426228,4.363420045462156e-07,2.3073959853140866e-07,0.0312256431743529,1.0981340027822095e-06
2-4B-rep2,2.5270218595360345e-06,0.0285729531851735,0.1844145917836995,1.3837862964527203e-06,0.5568434850487007,7.284056994423413e-07,3.851841832924298e-07,0.230162112418985,1.8331654024687704e-06
2-4C-rep2,3.7262574217824474e-06,0.049531424149376,0.6701583061914613,2.040482530002534e-06,0.268980663788529,1.0740813868994372e-06,5.679790288834896e-07,0.0111454056234516,0.0001767914468143
2-5A-rep1,3.0416039215885837e-06,2.689986616846021e-06,4.3233114904500105e-06,1.6655692193750565e-06,0.129111039468831,8.767322781838039e-07,4.636199398177165e-07,0.8708736932514917,2.2064562109064008e-06
2-5A-rep2,2.0419745549774272e-06,1.805916998542183e-06,2.902446302781488e-06,1.1181764796453725e-06,0.1489267517845003,5.885924169389192e-07,3.112502957957445e-07,0.8510629985585989,1.4812998521482735e-06
2-5B-rep1,2.0740281526977083e-06,0.0178793764722705,2.9480070302485854e-06,1.1357288918296805e-06,0.4089142894751817,5.978317605476727e-07,3.1613610191288564e-07,0.5731977577682699,1.504552340504769e-06
2-5B-rep2,2.744256607190188e-06,0.0114772117801232,3.900664395649572e-06,1.5027431095023609e-06,1.045824435758663e-05,7.910228975132975e-07,0.9180473045752472,0.0704540959602939,1.990752968286955e-06
2-5C-rep1,2.3136871766874096e-06,2.046218936227172e-06,3.288656450395164e-06,1.2669651421085251e-06,0.2200881232257786,6.669126821622321e-07,3.526664014335565e-07,0.7799002632603904,1.6784070420418644e-06
2-5C-rep2,5.6191189436496e-06,4.969534215023253e-06,7.986970730428855e-06,3.0770053543532963e-06,0.2557174391178882,1.6196924648488309e-06,8.565006008812597e-07,0.7442543558091754,4.076250627189489e-06
2-6A-rep2,0.1954804322885873,0.0985962880295121,5.473713695833595e-06,2.1087652526520013e-06,0.6208079973984836,1.1100244544661652e-06,5.869858833552684e-07,0.085103209215734,2.793578396461626e-06
2-6B-rep2,0.2402670692571041,2.372564098700739e-06,3.8131541493573257e-06,1.4690295145124411e-06,0.7528261015067672,7.7327653392934e-07,4.0891208073853226e-07,0.0068960462087341,1.9460910171700866e-06
2-6C-rep2,0.0273317696732491,2.111613320222201e-06,3.393757453487921e-06,1.3074556309533432e-06,0.5942279487338364,6.882263076283734e-07,3.63937141660413e-07,0.3784306845564041,1.7320466563881278e-06
2-7A-rep1,4.900040171861569e-06,0.5409581094375342,0.0026396218488538,0.0001171465874757,0.26374222432333,0.0010315825394485,7.468942006085886e-07,0.1823450459912322,0.0091606223377527
2-7A-rep2,2.8287598776411107e-06,0.5540741769921194,4.020776668496153e-06,1.5490167367819023e-06,0.2439741225607772,0.0027761296752902,4.3117694415181515e-07,0.1893850100449221,0.0097817309966637
2-7B-rep1,0.0408723315645496,0.0128600861484746,6.359927691843633e-06,0.0001069715556853,0.0653429104655619,1.2897414185101737e-06,6.820210156614591e-07,0.7295636949194054,0.1512456736561968
2-7B-rep2,0.0512757238662132,0.0086364789690619,3.598473663172789e-06,1.3863231884521329e-06,0.0447184523087482,7.297410838120077e-07,3.858903405042765e-07,0.7810464361080586,0.1143168083196421
2-7C-rep2,0.0426314747649672,0.0172004937490637,3.190538669496305e-06,1.2291649613675548e-06,0.6250799591008541,6.470151971515369e-07,3.421445225969609e-07,0.2827289626490182,0.032353700872746
2-8A-rep2,2.607047295925253e-06,6.320544375865622e-05,3.705636177879979e-06,1.427607881068289e-06,0.0245525458368709,7.514727670050134e-07,0.9753712401339708,2.6256034051041167e-06,1.8912178727125832e-06
2-8B-rep2,1.993757853674654e-06,0.0122506031790124,2.8339114691385188e-06,0.0083843282099253,0.975443731072012,0.0039127516979072,3.039008102175811e-07,2.0079487693771915e-06,1.4463222407295726e-06
2-8C-rep1,0.0250037885990752,4.44344286444892e-06,7.14144355690293e-06,2.751263376825005e-06,0.9749709564493808,1.448226456269714e-06,7.658286106325233e-07,5.060021443090114e-06,3.644725235684048e-06
2-8C-rep2,0.0288865356764541,2.086937082314726e-06,3.3540981249922463e-06,1.2921767511064032e-06,0.971101602914162,6.801837195566927e-07,3.5968418521001805e-07,2.376523499689938e-06,1.7118060209694314e-06
2-9A-rep1,3.356653408164798e-06,0.9770741300616976,4.771120311219791e-06,8.02484221176941e-05,1.2792062329133544e-05,9.675442514805571e-07,5.116417164104361e-07,0.0228207874931124,2.4350010557709805e-06
2-9A-rep2,1.3024299019742371e-06,0.9867841758380343,0.0041091370819177,7.132050099373149e-07,3.538784395238912e-05,3.7542111483608084e-07,1.9852436028380632e-07,0.009067764840203,9.448155054259504e-07
2-9B-rep1,4.756312385563146e-06,0.0405578644112103,6.76058438862582e-06,2.604536195820263e-06,0.5193271595702817,0.4400918890839634,7.24986329185604e-07,4.7901662600414634e-06,3.450348985168218e-06
2-9B-rep2,0.0049056598892848,0.0269523823223706,2.5075022919285985e-06,9.6602306916219e-07,0.570136117973408,0.3979990409829964,2.6889759487482964e-07,1.7766737585557277e-06,1.2797352256735024e-06
2-9C-rep1,3.5486462786672152e-06,3.1384135619307103e-06,5.044017441985608e-06,1.9432234322971876e-06,0.13985776702892,0.8599560791335318,5.40906448230374e-07,0.0001693643528577,2.574277527162612e-06
2-9C-rep2,1.0230715690900746e-06,9.048018413556642e-07,1.4541857468048456e-06,0.0117108837814927,0.1248502871169094,0.8634335185842108,1.559428484176299e-07,1.0303534575941684e-06,7.421619237792032e-07
3-10A-rep2,0.0238763288131337,0.2745020826293443,0.652584551271942,0.0056330163124071,0.0326895126813479,9.78671252630938e-07,5.175257242564547e-07,0.0107105490906701,2.4630041775995504e-06
3-10B-rep1,5.51345860508814e-06,4.876088485734051e-06,0.6128030365524011,3.019146207615742e-06,0.2136879380809089,1.5892362214559442e-06,8.403952035094024e-07,0.1734891874400143,3.999601952254968e-06
3-10B-rep2,3.6731823934396874e-06,3.2485529787279456e-06,0.6068135659999746,2.011418872865023e-06,0.2280819537882231,1.0587826853875996e-06,5.598890072763232e-07,0.1650912637666982,2.6646191663127743e-06
3-10C-rep1,0.4955361224905934,4.10521314738718e-06,0.3006868595302472,2.5418403996666705e-06,0.1946520459689097,1.3379891381611617e-06,7.075346250466079e-07,0.009112912139961,3.367292978121738e-06
3-10C-rep2,0.5030816995688921,3.0839610401913563e-06,0.2650659188484958,1.9095078578186956e-06,0.2144894765155533,1.0051381563255682e-06,5.315215409993774e-07,0.0173538453255094,2.5296129537261154e-06
3-11A-rep2,0.1590341362090225,3.930068452675664e-06,0.717716037925923,2.4333953945423047e-06,0.0947911577660226,1.280905208358464e-06,6.773483883147865e-07,4.475410453109798e-06,0.0284458709711347
3-11B-rep2,0.6029145781579961,3.5378482928647894e-06,0.35659383929044,2.1905429501069826e-06,0.0403837151289298,1.1530710875092718e-06,6.097491349400543e-07,9.747429809205524e-05,2.9019130765002446e-06
