,9_1,9_2,9_3,9_4,9_5,9_6,9_7,9_8,9_9
3-1B-rep1,0.02728038153975615,0.15225296319088358,5.423945658932824e-06,0.000180367798500083,1.4542381330384713e-05,1.0999319028493936e-06,0.7513540831061678,3.84309994494418e-06,0.06890729500585517
3-1B-rep2,0.07810120257220304,0.5388949750391512,3.5149111178807673e-06,1.354130457570154e-06,0.1447115822056677,7.127952817650019e-07,3.769293247863761e-07,2.4904664561608147e-06,0.23828379095034
3-1C-rep1,4.248836246712036e-06,0.06779248737169864,0.00010529069628766551,2.3266444458660946e-06,1.619213290297315e-05,1.2247130061116593e-06,0.8408588000782153,4.279078072167343e-06,0.09121515044912447
3-1C-rep2,0.0005928080103359737,0.37238055873884546,5.12171293623257e-06,1.973155863487428e-06,0.2924276086946416,1.0386415738735589e-06,5.492382976579374e-07,3.628954997150178e-06,0.33458671285250846
3-2A-rep1,0.06898152688631193,0.048356439756063276,0.3200281482461245,3.2018268300603283e-06,2.2282908614058973e-05,1.6853967390932553e-06,0.5625965846909194,5.8886810160149194e-06,4.241607381579812e-06
3-2A-rep2,0.12119680343998517,0.10309641492632957,0.7000744751284359,1.2780168141453997e-06,0.07562595648684539,6.727301273274741e-07,3.5574269238863513e-07,2.3504810694162625e-06,1.6930477006965746e-06
3-2B-rep2,0.05919652777510667,2.952640854220087e-06,0.6604104450698142,1.8281978400414306e-06,0.2803809908387975,9.623377033058043e-07,5.088884705091475e-07,3.362353582991435e-06,2.421897830483821e-06
3-2C-rep2,0.014191525887004239,0.0387950361070557,0.529888442345884,2.104978101955667e-06,0.19262589989266196,0.00907044896040587,5.859317100687484e-07,3.871397563334147e-06,0.21542208449961278
3-3A-rep2,1.5873682149518704e-06,1.4038643308945805e-06,2.256272486554484e-06,0.5449345131772784,0.45505678962411283,4.575536418576319e-07,2.4195640696707617e-07,1.5986665822464501e-06,1.1515169453906673e-06
3-3B-rep1,0.2241440526545368,4.4686169267523995e-06,7.181902982290535e-06,0.1399863655426339,1.9255718698856837e-05,1.4564312974597225e-06,0.6358284650700184,5.088688694802619e-06,3.6653742105805783e-06
3-3B-rep2,0.39655524896482386,2.7674589926333516e-06,4.447824084801331e-06,0.49282279951677244,0.11060793580219325,9.019824158963762e-07,4.769723252813181e-07,3.151475617619771e-06,2.270002774171483e-06
3-3C-rep1,5.254277864217148e-06,4.646869710949242e-06,0.376445601324557,2.8772199491750686e-06,0.021744689471676976,1.5145282294677859e-06,0.5927036844719501,0.009087920250357215,3.811585704845791e-06
3-3C-rep2,1.8324576347453628e-06,1.6206207778782216e-06,0.816519711644826,1.0034459156820915e-06,0.14400507243259014,5.281998571156883e-07,2.7931444074922345e-07,0.02547118645289282,0.013998765431064994
3-4A-rep1,4.959648457686847e-06,4.386300228226501e-06,0.11308228771733903,2.7158821539557256e-06,1.8901007785611193e-05,1.4296022767578283e-06,0.8868767270380457,4.994949611760063e-06,3.5978541011546307e-06
3-4A-rep2,3.306358391540668e-06,2.924134783169171e-06,0.6020550940077993,1.8105476278766604e-06,0.38255982339805505,9.530468791589383e-07,5.039754412537971e-07,3.3298919681634525e-06,0.015372254639054356
3-4A2-rep1,2.777913344682458e-06,0.011942428983729334,0.6195846800655974,1.521173394127465e-06,0.34042957663998646,8.007243408631011e-07,4.2342660349012967e-07,0.006427021860802251,0.021610769212201245
3-4B-rep1,0.00036778120745472676,4.576100246409401e-06,7.354648775148666e-06,0.7341610373026526,0.26544800596224255,1.4914627340919725e-06,7.886921472225326e-07,5.211086555837429e-06,3.753537191296109e-06
3-4B-rep2,5.064081611016582e-06,4.4786606380806855e-06,7.198045104455906e-06,0.6875350641661574,0.3124371897046661,1.459704788063402e-06,7.718984036900134e-07,5.100126086086739e-06,3.6736125449656142e-06
3-4B2-rep1,3.9326741692499665e-06,3.478046832006083e-06,0.00018932185362465704,0.8040133067915051,0.19578141408449728,1.1335803321690664e-06,5.9944233656764e-07,3.960665656540418e-06,2.8528610463129433e-06
3-4C-rep2,4.356501103630253e-06,0.06625381215739999,0.19397304695944842,2.3856012582303237e-06,0.12834409652658524,1.255747045296137e-06,0.5709104513808937,4.387509252290675e-06,0.04050620761701311
3-4C2-rep1,3.0000386219781857e-06,0.2644842999945058,0.4410873285548655,1.6428082401647778e-06,0.27885946494510083,8.64751217940502e-07,4.5728430171339244e-07,0.015560765319451941,2.1763036940607334e-06
3-5A-rep1,2.876661719994563e-06,2.5441121616969424e-06,4.088863964146483e-06,1.5752475795319988e-06,1.096283456984079e-05,0.0036295148838434653,4.384784369962438e-07,0.9705419249459665,0.025806073971757715
3-5A-rep2,2.2002409497921434e-06,1.945887387495949e-06,3.127404890715315e-06,1.2048424764222226e-06,0.008745860370949193,6.342121821887523e-07,3.353742311702237e-07,0.9680630874303131,0.023181604236619913
3-5B-rep1,0.06106000998479753,4.00617114869598e-06,0.11523939860901515,2.480516189571208e-06,0.2807454932307555,1.3057089340127022e-06,6.904647090904911e-07,0.5429433292604761,3.2860539742604443e-06
3-5B-rep2,0.06133203578585355,2.7774070009374057e-06,0.07820614135618746,1.7196976302662882e-06,0.321548509095839,9.052247145491594e-07,4.786868672728464e-07,0.5389051545832986,2.2781626083398643e-06
3-6A-rep2,0.9008247828928454,4.4206145281291275e-06,7.10475415179543e-06,2.737128669215058e-06,0.06108563957337493,1.4407861444170608e-06,7.618941405335122e-07,0.0380694863558075,3.626000337893841e-06
3-6C-rep2,0.6237621955935821,3.3247215541322347e-06,5.343449222948118e-06,2.0585804586820476e-06,0.17854465191004865,1.0836078827406317e-06,5.730166823821354e-07,0.19767804202427827,2.7270962898881095e-06
3-7A-rep2,0.0856592874523353,0.2982936425490649,0.11577732598638593,0.006782344934190939,0.0957135377202551,1.6087121018806673e-06,8.506941359601524e-07,0.04328877224659335,0.35448262970493666
3-7B-rep2,0.025741406850534426,0.06385953218062207,7.386790795277544e-06,2.8457841646974733e-06,1.980505250375928e-05,1.4979808733921983e-06,7.921389683619964e-07,0.023799088370002427,0.8865676448515355
3-7C-rep2,0.21058135646220466,2.8022815954282337e-06,0.18963589829349772,1.7350993273115086e-06,0.5997713218612117,9.133319518715562e-07,4.829740105354212e-07,3.191130255300853e-06,2.2985659453543875e-06
3-8A-rep1,0.21174613627298136,0.00025314611633373387,0.07725235954136073,1.9534249972977585e-06,0.7107386521839661,1.0282555226282678e-06,5.437461074271175e-07,3.5926667206981854e-06,2.5877920098959814e-06
3-8A-rep2,0.1537771810183975,2.3762869542521917e-06,0.06471463686668842,1.4713346091087665e-06,0.7814984952810696,7.744899033968807e-07,4.095537159258248e-07,2.706023979660785e-06,1.9491446820851338e-06
3-8B-rep1,0.00020686122089754743,0.04235638196231225,4.136675811765575e-06,0.11598168455158141,1.109102503558448e-05,8.388840860919697e-07,4.436056469982762e-07,0.07451300112454035,0.766925560950088
3-9A-rep2,0.030420049865158044,0.6587863988300481,0.24872175115601944,4.6424777421128916e-07,0.06206949346401287,2.443735174685465e-07,1.2922580619081416e-07,8.538272679393124e-07,6.150103957806797e-07
4-10A-rep1,2.7052373134427845e-06,2.392504861301231e-06,0.991446114525078,0.008532599124959177,1.030954350082214e-05,7.797757150456944e-07,4.123488767057921e-07,2.724492307021704e-06,1.962447388318748e-06
4-10A-rep2,2.2720586844781076e-06,0.0011165750106985855,0.9943549753847493,0.0044595066011303575,6.173327106134898e-05,6.549134068611416e-07,3.4632113112541627e-07,2.288230454386485e-06,1.6482086836908828e-06
4-10B-rep1,2.2708534391715046e-06,2.0083368898997525e-06,0.8339456604462282,1.243509571759306e-06,0.16588474260359898,6.545659988847354e-07,3.461374202377012e-07,0.00016142621248448717,1.647334368342476e-06
4-10B-rep2,2.7955095168292876e-06,2.472341363766045e-06,0.8932726872874114,1.5308089822783632e-06,0.10671443880746607,8.057963793307352e-07,4.2610872005824427e-07,2.815407038399346e-06,2.0279331218229068e-06
4-10C-rep1,3.381844707331977e-06,2.990894685006613e-06,0.9806958321659305,1.8518836095847466e-06,0.019288593732947952,9.748055602106285e-07,5.154815288596907e-07,3.4059155708384794e-06,2.453275459651678e-06
4-10C-rep2,2.695018858679133e-06,2.3834676864199225e-06,0.9945002537170979,1.4757807302887939e-06,0.0054873351582461136,7.76830279231101e-07,4.1079131710740764e-07,2.7142011206422776e-06,1.9550346634668714e-06
4-11A-rep1,0.04015621716027316,0.010040140453466335,0.8532856657334833,9.375486056817169e-07,0.08355509157508266,4.935124373130513e-07,2.609715784165572e-07,1.7243045826326464e-06,0.01295946874049054
4-11A-rep2,0.035801696661396445,0.012082505301560149,0.9288687850232825,9.440047144399082e-07,0.023242322584618082,4.96910842419202e-07,2.6276867019701913e-07,1.7361784181332917e-06,1.250566497670023e-06
4-11B-rep1,0.07576395698924192,3.3784206427254404e-06,0.9194782816669842,0.0047315232300903865,1.4557953525457063e-05,1.101109726052371e-06,5.822717352013344e-07,3.84721519269251e-06,2.7711428612741833e-06
