,5_1,5_2,5_3,5_4,5_5
3-2C-rep2,0.36592665752695314,3.381895732080332e-06,0.061425797632423805,0.15589669929725386,0.4167474636476371
3-3A-rep2,3.002126520741351e-06,0.5727843057948901,2.154828733101226e-06,0.42720911477115203,1.422478704022535e-06
3-3B-rep1,0.09561486799411882,0.20136575653445524,6.859048240139346e-06,0.7028899572734392,0.00012255914974656284
3-3B-rep2,0.3337697334314652,0.6254992416763608,4.247860025561603e-06,0.04072397286941791,2.8041627305264575e-06
3-3C-rep1,0.3541135616983422,4.6226068764407565e-06,7.132658118340246e-06,0.6458699745166212,4.70852004178089e-06
3-3C-rep2,0.9418589832616817,1.6121475739817754e-06,0.006038102132443163,0.05209966034826116,1.6421100399189253e-06
3-4A-rep1,0.11227477936506508,4.363395253616829e-06,6.732695946491706e-06,0.887709680052877,4.444490857869677e-06
3-4A-rep2,0.6718820962397788,2.9088551943884994e-06,4.488348278776076e-06,0.3281075436392109,2.962917537119756e-06
3-4A2-rep1,0.7335390651153488,2.4439391842245136e-06,3.7709853182476698e-06,0.2659330983902687,0.0005216215698799995
3-4B-rep1,0.02768907931726911,0.7614872957392028,7.024030196887508e-06,0.21081196410242456,4.636810906592979e-06
3-4B-rep2,0.0035584737759454194,0.7248073579899433,6.874464872000301e-06,0.2716227556916966,4.538077542662904e-06
3-4B2-rep1,0.05227961181328746,0.8107274249699487,5.338572566639589e-06,0.1369841004635192,3.524180678152765e-06
3-4C-rep2,0.28129324308787357,3.832754011884543e-06,5.913919299042473e-06,0.7186931062513983,3.9039874171756795e-06
3-4C2-rep1,0.7701888572440353,2.6393607003537966e-06,0.025162922640806953,0.20464289234008706,2.688414370350571e-06
3-5A-rep1,5.440530677955362e-06,2.5308160697788355e-06,0.824123648649213,7.895348317945711e-06,0.17586048465572138
3-5A-rep2,4.161233681232895e-06,1.9357150421449304e-06,0.8287305963875872,6.038820712623639e-06,0.17125726784297682
3-5B-rep1,0.10899944021694279,3.9852476404952555e-06,0.2128028926652891,0.2830712535648549,0.3951224283052727
3-5B-rep2,0.059134421152941354,2.7628931661279408e-06,0.24040629117665402,0.30027273311720065,0.40018379166003787
3-6A-rep2,0.8770188315348975,4.397530719383261e-06,0.12295857276407926,1.3718909557671396e-05,4.479260746158453e-06
3-6C-rep2,0.679797564538358,3.3073518630991463e-06,0.1669449888153002,0.08932008309444124,0.06393405620003739
3-7A-rep2,0.6014186356675778,0.17574696348824542,0.11395309156438385,0.03195656646925838,0.07692474281053453
3-7B-rep2,0.0855957865616523,0.5342794664394895,0.010083132035098401,1.426351345407621e-05,0.37002735145030563
3-7C-rep2,0.4609865020071044,2.787637936164894e-06,4.301310686339218e-06,0.5390035695968698,2.839447403272892e-06
3-8A-rep1,0.33933067531833155,3.138405987923839e-06,4.842543946901321e-06,0.6606581469971013,3.1967346322909695e-06
3-8A-rep2,0.2554604568383581,0.0001278947639304852,3.647434399083128e-06,0.7444055931627863,2.4078005260064676e-06
3-8B-rep1,7.348819803774812e-05,0.9200986909263305,0.04242599779782297,7.987670651554764e-06,0.03739383540715728
3-9A-rep2,0.7438276542070226,0.03665832514091315,0.21901582899585403,0.0004974319297851767,7.597264252368473e-07
4-10A-rep1,0.9872821410905065,0.01270433749746849,3.6723278922412853e-06,7.4248505310259066e-06,2.4242336017967864e-06
4-10A-rep2,0.9945730150062563,0.005415628720510195,3.084290225741975e-06,6.235933879657409e-06,2.0360491280569515e-06
4-10B-rep1,0.9135736626935279,1.9978383745304915e-06,3.0826541131696895e-06,0.08641922184491209,2.0349690722475463e-06
4-10B-rep2,0.977258273001393,0.00013306456341074228,3.794872057054027e-06,0.022602362433797492,2.505129341709015e-06
4-10C-rep1,0.980388283572062,0.019357815110545788,0.00016258951351307243,8.828124053153705e-05,3.0305633476585766e-06
4-10C-rep2,0.9586226474768652,0.03380926827232452,0.00025547892015951,7.396804591462943e-06,0.00730520852605928
4-11A-rep1,0.9999499415035147,1.5062758344133795e-06,2.324175696952328e-06,4.469377432598435e-05,1.5342706278857251e-06
4-11A-rep2,0.9999898668707127,1.5166483262739304e-06,2.340180397385245e-06,4.731464666576297e-06,1.5448358970323451e-06
4-11B-rep1,0.9999775457996987,3.3607708279860677e-06,5.185651726580066e-06,1.0484545526874115e-05,3.4232322199090122e-06
4-11B-rep2,0.9790510337973196,1.5866779552902366e-06,2.448235746948543e-06,4.707944245110584e-05,0.020897851846526986
4-11C-rep1,0.9786183442226177,2.6380665637270437e-06,4.07052284467193e-06,8.229936049193533e-06,0.021366717251924704
4-11C-rep2,0.9970898488116187,0.002892487401857367,4.797369965103771e-06,9.699502870695219e-06,3.1669136882429314e-06
4-12A-rep1,0.9918382082909846,1.0446457401010104e-06,1.61188288731533e-06,0.008158071119451257,1.0640609368914993e-06
4-12C-rep1,0.9858486957002239,2.1382617665721923e-06,0.014140317333073534,6.670702641582605e-06,2.1780022942878974e-06
4-12C-rep2,0.980703558218518,2.3018151490708666e-07,0.019295259046664785,7.180937636067243e-07,2.3445953877479685e-07
4-1A-rep1,4.465574092658664e-07,2.0772875558411318e-07,3.205243782422973e-07,0.07405885651065848,0.9259401686787986
4-1A-rep2,3.435946344970106e-06,1.598327210980124e-06,2.466210487260675e-06,0.1117463959340284,0.8882461035819283
4-1B-rep1,5.939299052002527e-07,2.7628322260796793e-07,0.0005139377711095927,0.18750590635301803,0.8119792856627446
4-1B-rep2,6.269670971390916e-06,2.9165140288456616e-06,4.500165820095956e-06,0.30163534205283815,0.6983509715963415
4-1C-rep1,4.933319463337676e-06,2.294872488405832e-06,0.03851351549977817,7.159278723411241e-06,0.9614720970295467
4-1C-rep2,1.5019078946952224e-06,6.986547563501404e-07,0.026361617342891438,2.1795825944221612e-06,0.9736340025118632
4-2A-rep1,0.9403649609825551,2.192791054361215e-06,3.383465073663362e-06,0.059627229216284244,2.2335450326780462e-06
4-2A-rep2,0.9997587281406274,4.035637960060438e-06,6.22696816491357e-06,0.0002268986111956103,4.110642052033439e-06
4-2B-rep1,0.7972673225955708,1.8717406260784297e-06,2.8880859499575196e-06,0.2027260110501111,1.9065277421322908e-06
4-2B-rep2,0.7871092181730411,5.198810958273751e-06,8.02173798863009e-06,0.21107775961043754,0.0017998016675743445
4-2C-rep1,0.13914025271202615,1.8496783298982417e-06,0.1412509765361252,0.012136607080736836,0.7074703139927819
4-2C-rep2,0.15671167630922178,1.5810163229830951e-06,0.12086049766817904,4.691145215950653e-05,0.7223793335541167
4-3A-rep1,0.1588976596777262,0.7290559678438272,2.290103498838438e-06,0.11200316224611613,4.09201288316884e-05
4-3B-rep1,0.16856432687745332,0.5663596414416808,4.93214204407086e-06,0.26506784365731473,3.2558815070224857e-06
4-3B-rep2,0.17573768726164182,0.6365291060836719,2.3460378554593924e-06,0.18768894103924932,4.191957758158463e-05
4-3C-rep1,4.3443282682093075e-06,0.8941693640647814,3.1182174747417414e-06,0.10582111494376992,2.058445705774189e-06
4-4B-rep1,0.999997652829103,3.513063646374905e-07,5.420638745048405e-07,1.09596511111399e-06,3.578355466763016e-07
4-4C-rep1,0.26679181861826956,0.4135626760273236,4.985028735830345e-06,0.11178522042384939,0.2078552999018216
4-4C-rep2,0.30634533974987993,0.35624645553622636,6.682372981964623e-06,0.07855236516200051,0.2588491571789112
4-5A-rep1,7.694334482273175e-06,3.5792363845853017e-06,5.5227429323663205e-06,0.011035337677610432,0.9889478660085903
4-5A-rep2,4.282196473795778e-07,1.9919842918532179e-07,3.073621294362125e-07,3.7645283332053534e-05,0.999961419936462
