,10_1,10_2,10_3,10_4,10_5,10_6,10_7,10_8,10_9,10_10
1-4C-rep2,6.480338703834491e-07,1.210656697520374e-07,1.7922791803113523e-07,2.8682194932392265e-06,1.6793519922019349e-06,1.2079337281599785e-06,6.345765698608356e-07,0.9999917038613917,3.823646785041388e-07,5.753646881472651e-07
1-4C-rep3,1.2888853859019536e-06,2.40789532166741e-07,3.564693989826111e-07,9.388268783900935e-05,0.9998982041963144,2.402479562437424e-06,1.2621199361778147e-06,4.575281010871056e-07,7.604914939360708e-07,1.1443524358969756e-06
1-5A-rep1,3.0384093672496356e-06,5.676355540016481e-07,8.403384605440825e-07,0.1248395564499501,0.870880448308441,5.66358846719903e-06,2.9753126838284313e-06,0.004262419491358381,1.7927773129897236e-06,2.6976884048003376e-06
1-5A-rep2,8.439441258224138e-07,1.5766561825777952e-07,2.3341117728345947e-07,0.0031793113687355427,2.187045019990036e-06,1.5731100191725699e-06,8.264184836537932e-07,0.996813619771654,4.979591948714065e-07,7.493059714304881e-07
1-5A-rep3,1.3923209017660836e-06,2.6011335238130586e-07,3.850767496259271e-07,0.13250516404077817,0.8674862878007029,2.59528313955289e-06,1.3634074735406491e-06,4.942456057433968e-07,8.21522389969168e-07,1.236188906255079e-06
1-5B-rep1,3.602257504708947e-06,6.72973647455866e-07,9.962829757632776e-07,0.020717365481297805,0.979260518447517,6.7146001718716206e-06,3.5274517514664137e-06,1.2787281582860886e-06,2.1254692009572716e-06,3.1983077745560123e-06
1-5B-rep2,9.323641820999655e-07,1.741842507274382e-07,2.578656746841036e-07,0.004277851118608328,2.4161818050356256e-06,1.7379248122022305e-06,9.130023777738804e-07,0.9957143394171067,5.501303975461662e-07,8.278107848841346e-07
1-5B-rep3,1.7537363155025505e-06,3.276329699852819e-07,4.850340745571375e-07,0.03678176507697743,0.9632074678534439,3.2689606864855073e-06,1.7173176069847783e-06,6.225407278381671e-07,1.0347712567267256e-06,1.5570759405902647e-06
1-5C-rep1,2.9548740172157926e-06,5.520294822174155e-07,8.172349353229257e-07,0.6739988022605387,0.32254641641735204,5.50787875600782e-06,2.893512058414772e-06,0.0034376887840503125,1.7434882731428998e-06,2.6235205367025557e-06
1-5C-rep2,9.332273338729534e-07,1.7434550471780848e-07,2.5810439815564986e-07,4.130495261079859e-06,0.12223555443629969,1.7395337252340387e-06,9.13847605031906e-07,0.8777549167930376,5.506396899848214e-07,8.285771445967759e-07
