,12_1,12_2,12_3,12_4,12_5,12_6,12_7,12_8,12_9,12_10,12_11,12_12
3-3C-rep2,1.249266840255497e-06,0.7529957160402264,2.617228175974668e-07,0.156203867121167,0.027612420196154747,1.428015162828356e-06,2.1073770227856753e-07,4.0898544374749863e-07,5.724265619827882e-07,0.06318213369097232,1.113985465092935e-06,6.178114858116558e-07
3-4A-rep1,3.3812125803791987e-06,0.12837328594488462,7.08367864188134e-07,1.65426956847708e-05,0.00012339873678007175,3.865005199801821e-06,0.87146871580781,1.1069426346961959e-06,1.549305424871098e-06,2.7587730491321254e-06,3.0150657550163292e-06,1.6721423324594992e-06
3-4A-rep2,2.2540904741674225e-06,0.6467735082909244,4.7223450667917624e-07,0.35320904542797094,5.028437716247233e-06,2.5766115546937287e-06,3.8024049942516616e-07,7.379449795016013e-07,1.0328468017784908e-06,1.8391402204416083e-06,2.009998139959756e-06,1.114736211772389e-06
3-4A2-rep1,0.0025975416133629087,0.6762339062113147,3.967586762718866e-07,0.30999450262116257,4.224757538460194e-06,2.164799427504883e-06,3.194677963662296e-07,6.200014380301332e-07,8.677699830683631e-07,1.5451959334190158e-06,1.6887461420966783e-06,0.011162222057224485
3-4B-rep1,3.527521528352699e-06,5.1527964251900616e-06,7.390197544564407e-07,0.3297482365088929,0.0059304564295408705,0.011486599297243666,5.950544412682834e-07,1.154841312611103e-06,0.6205437134900114,0.032274935011889834,3.1455311097376504e-06,1.744497849809629e-06
3-4B-rep2,3.4524093810307234e-06,5.0430770085690194e-06,7.232836745418542e-07,0.3857783172060891,7.701654278057706e-06,0.0005954235834070356,5.823838405368936e-07,1.1302510698275652e-06,0.6012972977399559,0.01230554250659786,3.078552752774708e-06,1.707351944832272e-06
3-4B2-rep1,2.6810779741066613e-06,3.9163613572853355e-06,5.616888714009201e-07,0.247224722346378,0.04933806269159333,0.027011690443920967,4.522686376413876e-07,8.777323063641068e-07,0.6530771484271719,0.023336170315744278,2.390747755159181e-06,1.3258982896087896e-06
3-4C-rep2,2.9700198357144325e-06,0.12497366469183513,6.22222518581035e-07,0.1416735717646967,6.625536965380743e-06,3.3949779363660894e-06,0.5603271381386196,9.723262007019364e-07,1.3608927963148323e-06,0.17300556223671157,2.648400502927722e-06,1.4687913810451828e-06
3-4C2-rep1,2.0452586209296085e-06,0.2859292892186429,4.2848399696235444e-07,0.31389821850061095,0.03742726969887574,2.337899501115044e-06,3.4501284149348566e-07,6.695775295598321e-07,9.371579577866275e-07,0.36273562395035996,1.8237803987542278e-06,1.0114606637659527e-06
3-5A-rep1,0.03313053947805774,0.00013726058387225732,0.005040255436212668,9.594977761364624e-06,0.7897816185969032,2.241753076180759e-06,3.3082414294156043e-07,0.1446105823417571,8.986172133290812e-07,1.6001241006593276e-06,1.7487771896249168e-06,0.02728332848971297
