,7_1,7_2,7_3,7_4,7_5,7_6,7_7
2-3B-rep2,0.35272178182262615,0.6005186347711446,4.897408159686651e-07,3.1932700251591698e-06,0.0467491512002906,4.949456902614107e-06,1.7997381948138798e-06
2-3C-rep1,0.6246649178439942,0.33979488762392007,6.786115910407041e-07,0.03552523878673668,4.925080847613142e-06,6.858237487980288e-06,2.493815422395823e-06
2-3C-rep2,0.6016657440097968,0.37032497732919356,3.6304625925402676e-07,0.028001277578394806,2.63483884132824e-06,3.6690464736515698e-06,1.3341510406303962e-06
2-4A-rep1,0.9410517198898505,0.024664940903780356,6.182642884152991e-07,4.031285029649761e-06,0.03200392044004783,0.002272497170610389,2.272046392844726e-06
2-4A-rep2,0.9089343974500519,0.04583151938245213,2.411768910012612e-07,1.572552075881467e-06,0.044132743195562076,0.0005682193601508206,0.0005313068828161184
2-4B-rep2,0.4183573968696861,0.38446981846101685,4.026074030619931e-07,6.165545704561566e-05,2.92195717860786e-06,0.19710632511421622,1.479533453572423e-06
2-4C-rep2,0.27611748339418757,0.043007555210927834,5.936702923394802e-07,9.09149035268952e-05,4.308612209399604e-06,0.6807769625424205,2.1816664354111067e-06
2-5A-rep1,0.08576967601579888,0.9142164845186349,4.845909405049261e-07,3.159691155652176e-06,3.516959615068668e-06,4.897410828791996e-06,1.7808130260952103e-06
2-5A-rep2,5.536123566040136e-05,0.9971210590407089,3.253293180457071e-07,2.1212533767806275e-06,2.361104959932595e-06,3.2878685752160996e-06,0.002815484167400706
2-5B-rep1,0.3278592347939585,0.6570153753446198,3.3043612157003417e-07,2.1545514031792564e-06,2.3981680171544955e-06,3.339479352038491e-06,0.015117167226527688
2-5B-rep2,1.0296366044866824e-05,0.07212371481761033,0.9163791725574509,2.85080010825416e-06,3.1731420437811176e-06,4.418640504123444e-06,0.011476373676237632
2-5C-rep1,0.15571782882806762,0.8442716437633605,3.686187733562954e-07,2.403514759825355e-06,2.6752818323417712e-06,3.7253638511073066e-06,1.354629355167352e-06
2-5C-rep2,0.09925392689187361,0.9007205058443529,8.952415350811689e-07,5.837267113621765e-06,6.497290934353619e-06,9.047559955872342e-06,3.289904234513462e-06
2-6A-rep2,0.36802777232545386,0.6319547056343923,6.135368361704329e-07,4.000460497455025e-06,4.452795326549195e-06,6.200573915379076e-06,2.2546735783031894e-06
2-6B-rep2,0.6050567874145308,0.2738589951142302,4.27408558170428e-07,2.786843352238488e-06,0.12107511303486496,4.319509768220583e-06,1.5706746953655301e-06
2-6C-rep2,0.4633250196180465,0.48546342503372547,3.803993138601211e-07,2.4803277303690376e-06,0.051203452278498686,3.844421270076682e-06,1.3979214149854654e-06
2-7A-rep1,0.09101649308458151,0.8490970471526996,7.806777741517064e-07,5.090273986201974e-06,5.665834778529747e-06,0.05907081287466997,0.0008041101015099784
2-7A-rep2,0.08624345531287217,0.8500437046411136,4.506804994788325e-07,2.938584008079896e-06,3.2708517297382638e-06,0.0613917655218076,0.0023144144079693357
2-7B-rep1,1.6787929646603764e-05,0.858023186859787,7.128704121314803e-07,0.07985877557803757,0.06000029039897607,0.002097626650699093,2.619712441422945e-06
2-7B-rep2,9.498691180837253e-06,0.8948897871087093,4.0334550116267406e-07,0.040394256395971675,0.0647004958909411,4.076321821205269e-06,1.482245874714385e-06
2-7C-rep2,0.4789443301716404,0.4859668356791329,3.5762096599494565e-07,2.3318054649404465e-06,0.03508121629209989,3.614216950985069e-06,1.3142137448648352e-06
2-8A-rep2,0.01919318331021556,5.477780268187183e-06,0.9807898920547529,2.708263968747884e-06,3.014489244619202e-06,4.197714470937089e-06,1.5263870790102806e-06
2-8B-rep2,0.8692549716660911,0.12901273774056818,3.1764739623858506e-07,0.0015389961115764397,0.00014202580247717105,4.978371617430181e-05,1.1673157165040906e-06
2-8C-rep1,0.999966582686509,1.0556677244960084e-05,8.004685705631282e-07,5.219316440688072e-06,5.8094681523945e-06,8.089758016315335e-06,2.941625066191556e-06
2-8C-rep2,0.9935901066225604,4.958127083960973e-06,3.7595398698613697e-07,2.4513427477090745e-06,2.7285177638207503e-06,0.006397997850479942,1.381585377018694e-06
2-9A-rep1,1.2594055568294563e-05,0.9247767662600951,5.347847991007732e-07,3.4869715024702604e-06,8.22914300611769e-05,0.07512236122859547,1.965269378342177e-06
2-9A-rep2,3.531099773998615e-05,0.92709252369469,2.07504451033778e-07,0.00012305026470422228,1.5059810517142189e-06,0.07274663900363279,7.625537303455452e-07
2-9B-rep1,0.2273399302464232,0.7634166623903722,7.577790258778763e-07,4.940966670797073e-06,5.49964518193768e-06,7.658325604062826e-06,0.009224550646721879
2-9B-rep2,0.35498238386661624,0.6392815150767339,2.810608892428134e-07,1.8326087669218936e-06,2.039823104848602e-06,2.8404795209201183e-06,0.005729107084367877
2-9C-rep1,1.331440519408113e-05,0.999970539063186,5.653732007335567e-07,3.6864178685206385e-06,4.103243680845942e-06,5.7138188194278965e-06,2.077678050320928e-06
2-9C-rep2,3.838536670774716e-06,0.99999150642596,1.6299682427073712e-07,1.0627925142616334e-06,1.1829631972634854e-06,1.6472912419915518e-06,5.989935915249118e-07
3-10A-rep2,0.0790867224370491,0.13888230461896744,5.40934946381378e-07,3.5270724708215e-06,3.925880989067525e-06,0.5869136696951446,0.1951093093604326
3-10B-rep1,0.17852667582466278,0.2255267271659304,0.003607060014396109,5.727505120280012e-06,6.3751180766799075e-06,0.592324206329824,3.2280419897926407e-06
3-10B-rep2,0.1947034414632381,0.2214682784570336,5.852143542329682e-07,3.815788667662498e-06,4.247242525523269e-06,0.583817481242294,2.150591886819172e-06
3-10C-rep1,0.15919428765375704,0.07927289563723447,7.395379913802846e-07,4.82202917000118e-06,5.367259335850134e-06,0.7615191701699453,2.7177125659222063e-06
3-10C-rep2,0.1824763238949855,0.0820343282639377,5.55563806536568e-07,3.6224574154955874e-06,4.032051175259373e-06,0.7354790961389649,2.041629714489684e-06
3-11A-rep2,0.11783537214294088,0.002189242459959208,7.079864432604178e-07,4.616302774378513e-06,0.12156081826943722,0.7584066410739978,2.601764447233105e-06
3-11B-rep2,0.04496220855715097,0.011034953106934548,6.373296771120996e-07,4.155597588983997e-06,0.6071188786171371,0.3368768246821236,2.3421093876325653e-06
3-12A-rep2,0.026017705084581885,1.003460006840708e-06,7.608816473730181e-08,4.961196775980883e-07,0.9672860394743228,7.689681559855392e-07,0.006693910805090204
3-12B-rep2,0.3706275396828866,0.04173999987742074,6.776676182785623e-07,4.4186141361115305e-06,0.5876180251140647,6.848697436689645e-06,2.490346436802841e-06
3-12C-rep2,0.3869420425871404,2.3275684438501716e-06,1.764897554319078e-07,1.1507708310030733e-06,0.6130518703507926,1.7836545572281282e-06,6.485784796513428e-07
