,17_1,17_2,17_3,17_4,17_5,17_6,17_7,17_8,17_9,17_10,17_11,17_12,17_13,17_14,17_15,17_16,17_17
1-5B-rep1,0.04265279481332849,2.336547122669932e-06,2.194459069044069e-06,1.6076762869173926e-06,7.868972729222141e-07,0.7149337301608364,2.411696478249039e-06,0.21231481179829548,6.150929444090252e-07,3.755093900773253e-06,4.236157399742705e-06,0.030069708036784836,7.393032143427132e-07,1.534461319846644e-06,4.617632533294289e-06,2.8588391788599588e-06,1.2613340338727186e-06
1-5B-rep2,0.00013229080357874111,6.047684953366155e-07,5.679918441991755e-07,4.1611485580328906e-07,2.0367262235475974e-07,9.724628162970972e-07,0.03894242757287476,1.1685516066114112e-06,0.9609154689807125,9.719309600841062e-07,1.0964446262586107e-06,9.605802547089277e-07,1.9135385209978744e-07,3.9716462576431567e-07,1.1951818356595937e-06,7.399533490396195e-07,3.2647108991767827e-07
1-5B-rep3,0.03438307040403741,1.137540080145803e-06,1.0683649908265545e-06,7.8269177391072e-07,3.8309828131503844e-07,0.7781304743384022,0.001500920956109115,0.18597080488618756,2.994559238679653e-07,1.8281547910574872e-06,2.062358931801553e-06,1.806804667164203e-06,3.5992727453939744e-07,7.470473143141322e-07,2.248078812981625e-06,1.3918162048143348e-06,6.140762170217477e-07
1-5C-rep1,0.6694457171069084,1.9166361586983245e-06,1.8000833621995287e-06,1.3187538454036203e-06,6.45480569097374e-07,0.22995249983413965,1.978280099369724e-06,0.09663299723227886,5.045519376760683e-07,0.0029343035988149547,3.4748592773967697e-06,0.0010138109491303166,6.064398441200658e-07,1.2586966559362168e-06,3.7877778689010425e-06,2.3450648561477588e-06,1.0346542528767035e-06
1-5C-rep2,6.856748449314444e-05,6.053283682031893e-07,5.685176705681985e-07,4.1650007993275175e-07,2.038611751246207e-07,0.07607323112516197,6.247972829718509e-07,1.1696334095538227e-06,0.9238487282291242,9.728307387216015e-07,1.0974596751586052e-06,9.614695252726643e-07,1.9153100059632975e-07,3.9753230645410526e-07,1.1962882919078398e-06,7.406383711693306e-07,3.2677332508100954e-07
1-5C-rep3,0.7756420358923215,1.0040093037112074e-06,5.389088285721993e-05,6.908150637152661e-07,3.381280760030644e-07,0.14724980355948128,1.0363008211547373e-06,0.061898068377135414,2.6430412331171297e-07,0.015144721102933991,1.8202677789210437e-06,1.5947118940979887e-06,3.1767701077456084e-07,6.593547488785833e-07,1.984186828318435e-06,1.2284370837381887e-06,5.419925379671836e-07
1-6A-rep1,0.9561604024924464,1.2201026931372017e-06,0.013899436031439647,8.39499511192961e-07,4.1090353907248763e-07,1.9619151961271806e-06,1.259344328899643e-06,2.3575185765965025e-06,3.211904227061281e-07,1.9608421918241527e-06,2.2120448596273765e-06,0.029921868071740097,3.8605078156258406e-07,8.0126797816105e-07,2.4112442822691555e-06,1.4928341686460045e-06,6.58645844007278e-07
1-6A-rep2,0.029026959461091555,8.312569661921203e-07,7.807072968774206e-07,5.719517059664059e-07,2.7994891840517557e-07,1.3366544332965486e-06,8.579923248433081e-07,1.606179341088303e-06,0.9692051919759909,0.0017548389731004818,1.507067978324637e-06,1.3203217999458729e-06,2.630167143166237e-07,5.459045311345359e-07,1.642782708456625e-06,1.0170691442913406e-06,4.487359540833102e-07
1-6A-rep3,0.043468628141090884,1.030135663904321e-06,9.674919577129832e-07,7.087914740082181e-07,0.9565136699185772,1.656449759888516e-06,1.0632674721826004e-06,1.9904586537912953e-06,2.7118185313019396e-07,1.6555438197522558e-06,1.8676348416207826e-06,1.6362095348025518e-06,3.259436114702802e-07,6.765124979159337e-07,2.0358193974345377e-06,1.2604035103496633e-06,5.560962840346438e-07
1-6B-rep1,0.8324886935337631,2.1588483685955862e-06,2.0275663756963364e-06,1.4854095154201217e-06,7.270522718836749e-07,3.4714105987189807e-06,2.228282475923831e-06,0.16747765296769412,5.683139820671454e-07,3.4695120260806953e-06,3.91398975129531e-06,3.428993295408434e-06,6.830778299722319e-07,1.4177626827566943e-06,4.266452991491625e-06,2.641419142579311e-06,1.1654072348297648e-06
1-6B-rep2,0.8564220756076149,7.852012410106963e-07,7.374522720481806e-07,5.4026276781807e-07,2.644383711553066e-07,1.2625972022041718e-06,0.002319700951818236,0.12803739960238775,2.0670318976276687e-07,1.261906666632792e-06,1.4235689985116945e-06,0.013210641247691007,2.4844429446891096e-07,5.156587346073817e-07,1.551764464964411e-06,9.607185103657514e-07,4.23873774732252e-07
1-6C-rep2,0.5854400476311505,7.438934720606375e-07,6.98656474901641e-07,5.118406915149021e-07,0.0006279358395393315,1.1961746460725645e-06,7.678189963963e-07,0.4139206707725653,1.9582897413752153e-07,1.1955204381103943e-06,1.3486780581977239e-06,1.1815585407943329e-06,2.3537416801359332e-07,4.885310242145357e-07,1.4701294335409337e-06,9.101771508014807e-07,4.015746760603096e-07
1-7A-rep1,2.1002455238454528e-05,2.6925460053824633e-06,2.528809260041021e-06,1.852623609551327e-06,9.067898046207578e-07,4.329592053148075e-06,2.7791451992135632e-06,0.9861634676670549,0.002272635697703995,0.01150595709727864,4.881582988069631e-06,4.276688596726906e-06,8.519442630672282e-07,1.7682535297836695e-06,5.321180091432718e-06,3.294415052187948e-06,1.453512270908604e-06
1-7A-rep2,0.09902628908144506,7.629596205020591e-07,7.165631894519592e-07,5.249592776691137e-07,2.5694788643372374e-07,1.2268328575241437e-06,7.874983611323329e-07,0.8834994742189867,0.002575292933018777,0.014888477277746278,1.3832449646474555e-06,1.2118421383484433e-06,2.414068581704139e-07,5.010521786213792e-07,1.507809164659356e-06,9.33505185415228e-07,4.118671207068161e-07
1-7B-rep2,0.00017502503957968126,1.0543061195551146e-06,9.90192580820983e-07,7.254221115916651e-07,3.55066928568989e-07,1.6953156557719846e-06,1.0882153117554161e-06,0.9920244829125829,0.0005006811996515986,1.6943884592258622e-06,0.0072855646557948225,1.6746005267680762e-06,3.335913474741408e-07,6.923857618956608e-07,2.0835865840128748e-06,1.2899768259977667e-06,5.69144177668272e-07
1-7C-rep1,0.28284913813070844,1.8468213732463853e-06,1.7345140922276447e-06,1.2707173329111806e-06,6.219684970536462e-07,0.00107431335749948,1.906219891137434e-06,0.7006623376676885,4.861732876029433e-07,0.01539135914369823,3.348285147076754e-06,2.93338717012281e-06,5.843498572362205e-07,1.2128477677242045e-06,3.649805464458603e-06,2.2596442618112584e-06,9.969662627207727e-07
1-7C-rep2,0.3987527885612257,8.433087333435772e-07,7.920261825386271e-07,5.802440019260556e-07,2.840076864109063e-07,1.3560335767470342e-06,8.704317077745771e-07,0.5755285880807405,2.2199991038289944e-07,0.02570683261820841,1.528917819101776e-06,1.3394641488765914e-06,2.6682999507913654e-07,5.53819188771989e-07,1.6666001746409423e-06,1.0318148619243377e-06,4.5524183788464845e-07
1-8A-rep1,0.095863687399722,2.4088933924069486e-07,2.2624058808997153e-07,1.6574546034660557e-07,8.11261892753678e-08,3.8734809610670213e-07,2.4863695898017166e-07,4.654535190835236e-07,6.341380043771299e-08,0.9041324791471007,4.367321108326527e-07,3.826150744107426e-07,7.621941842030447e-08,1.581972688853314e-07,4.760607817447085e-07,2.9473571241484827e-07,1.300388590640554e-07
1-8A-rep2,3.0661477599314714e-06,3.93084704106403e-07,3.6918078195791443e-07,2.704644607465405e-07,1.3238221420302984e-07,6.3207700359103e-07,4.057273176086059e-07,7.595299127846248e-07,1.0347902925008245e-07,0.9999906783997876,7.126621422996388e-07,6.243536297018001e-07,1.2437531536823636e-07,2.58147275534252e-07,7.768389091797893e-07,4.809515467532498e-07,2.121982093464644e-07
