,13_1,13_2,13_3,13_4,13_5,13_6,13_7,13_8,13_9,13_10,13_11,13_12,13_13
1-2A-rep1,0.00010815300750450074,7.709825373880874e-07,2.692209557578077e-07,0.061639340213660306,0.7425442332424514,5.579905605073311e-07,7.04146116255175e-07,0.1957022543105885,3.958747830476025e-07,1.0592532320500795e-06,3.3348633632435147e-07,5.357018296500081e-07,1.3925694442507024e-06
1-2A-rep2,1.943807482969793e-06,1.0787625873287715e-06,3.766952955644268e-07,0.017728417887221643,0.8770886584085921,7.807431576818235e-07,9.852447356360515e-07,0.10517255776613912,5.539099584089312e-07,1.4821123719790789e-06,4.666157345545202e-07,7.49556655002558e-07,1.9484900680165375e-06
1-2B-rep1,0.3720991919811635,2.841418808701055e-06,9.92200796114334e-07,3.86432167944352e-06,0.12591906238482795,2.0564471914946805e-06,2.5950964149971787e-06,0.4742814470575686,1.4589773437056418e-06,3.90382649511224e-06,1.229047744306873e-06,1.9743031531943756e-06,0.027679382936812953
1-2B-rep2,0.351839135407746,1.2611266977290271e-06,4.4037538910351794e-07,1.7151288024264019e-06,0.10187547642186645,9.12727278260469e-07,1.151799714322984e-06,0.5293339649559395,6.475480748894222e-07,1.7326624998792818e-06,5.454968195405192e-07,8.762687176841251e-07,0.01694214008045421
1-2C-rep2,0.23234720334230363,1.1874405321043537e-06,4.1464476749591476e-07,1.6149158220566894e-06,0.021598899899636734,8.593976853518674e-07,1.0845013971365447e-06,0.7457689547833135,6.097125942972155e-07,0.0002756878814148347,5.136240750614931e-07,8.250693560503854e-07,2.1447871017614935e-06
1-3A-rep1,4.734309399458751e-06,2.6274185595644248e-06,9.174736151328379e-07,3.573281935632209e-06,0.9999567403164626,1.9015667458635885e-06,2.3996478321827187e-06,1.4439272778219124e-05,1.3490950855599523e-06,3.6098114629100327e-06,1.1364825361520352e-06,1.8256093508724376e-06,4.745714235891779e-06
1-3A-rep2,3.538011299696317e-06,1.963504234394461e-06,6.856400255302943e-07,2.6703602993739303e-06,0.9999676714730149,1.421065685897352e-06,1.7932881924710803e-06,1.0790657293031403e-05,1.0081963924076373e-06,2.6976592926117363e-06,8.493082550272519e-07,1.3643017317280465e-06,3.5465342830433395e-06
1-3B-rep2,2.8957823325449917e-06,1.6070838644084615e-06,0.7179309272316745,0.012167982285128769,0.16669065061322272,1.163110165012955e-06,1.4677658789176374e-06,0.09266175887737445,8.251859741432225e-07,0.01053600751640936,6.951396226472296e-07,1.1166501507040754e-06,2.902758201898208e-06
1-3C-rep1,4.3089257050520586e-06,2.3913416749932555e-06,8.350374490532638e-07,0.0056327541581347,0.9939999781407534,1.7307085658703584e-06,2.1840364358836945e-06,1.3141885835226544e-05,1.2278771838176172e-06,0.00033443263827940206,1.03436814119671e-06,1.6615760390009524e-06,4.319305802490094e-06
1-3C-rep2,3.554117451446982e-06,1.972442729634695e-06,6.887612768102064e-07,2.6825166280477137e-06,5.400424597409176e-06,1.4275348284879058e-06,1.8014518101969747e-06,1.0839779794100266e-05,0.9999631366647119,2.7099398949778527e-06,8.531745760985655e-07,1.3705124667606885e-06,3.5626792341226466e-06
1-3C-rep3,2.087570568812956e-06,1.1585473601549332e-06,4.045555021884929e-07,0.016526155845941047,0.9176788893658459,8.384865538682543e-07,1.058112972201005e-06,0.053270062408419215,5.948768780230396e-07,1.591728704886957e-06,5.011264144908081e-07,0.012514564775363553,2.092599475644106e-06
1-4A-rep1,0.0010469408072514919,1.739476105334527e-06,6.074111888221689e-07,0.019272638959452106,0.9330071603942692,1.258927666887153e-06,1.588681045928071e-06,9.559485634555057e-06,0.002168798908778187,0.044484604014198174,7.524055155087956e-07,1.2086402571672233e-06,3.1418886366731695e-06
1-4A-rep3,0.006130466997630767,1.2180171116368787e-06,4.253218653111761e-07,0.04548580572824434,0.9131159029852837,8.815271654948949e-07,1.1124272951719722e-06,0.0005689205630687055,6.254126863249589e-07,0.03469106783953365,5.268498888654952e-07,8.463148821235233e-07,2.2000153440391294e-06
1-4B-rep3,2.5475683520807675e-05,5.311741591408306e-07,1.85481781834134e-07,0.10820116343059816,0.23466866962817523,3.844317509318752e-07,4.851267092004868e-07,0.581558835944256,2.7274087909013395e-07,0.07554243810342524,2.2975789423473999e-07,3.690757638668979e-07,9.59421086372468e-07
1-4C-rep1,3.894127147055238e-06,2.161139265770486e-06,7.546526029338403e-07,2.9391433925332973e-06,0.9999644174696197,1.5641019760667641e-06,1.9737902570844413e-06,1.1876782729034797e-05,1.1096756365856507e-06,2.9691901452567107e-06,9.347947340935898e-07,1.5016244890887364e-06,3.903508004834971e-06
1-4C-rep2,8.65331970666388e-07,4.802367331913825e-07,0.9944491114135171,6.531206218716347e-07,1.3148580830970405e-06,3.475663208112105e-07,4.3860504507064795e-07,2.6391947196341554e-06,0.00554208105104138,6.597974495057654e-07,2.077250533623354e-07,3.3368291000120043e-07,8.674165343805484e-07
1-4C-rep3,1.7210720220889576e-06,9.551502007242229e-07,3.3353083560412476e-07,1.2990016172486643e-06,0.9999842737293364,6.912799836898535e-07,8.723482980027146e-07,5.249134837014395e-06,4.904389660634331e-07,1.3122812620866603e-06,4.1314754307937413e-07,6.636670550956692e-07,1.7252180428166332e-06
1-5A-rep1,4.057235491893786e-06,2.2516601540963797e-06,7.862617755017475e-07,0.029728416578459975,0.9702375727425713,1.6296155237350458e-06,2.0564638960628067e-06,1.2374250402735395e-05,1.1561552068606015e-06,3.0935568317605095e-06,9.739492907076687e-07,1.5645211218218279e-06,4.067009273717301e-06
1-5A-rep2,1.126934429391801e-06,6.254192925233553e-07,2.183914310860126e-07,8.505684988919573e-07,1.712358833182906e-06,4.526406820697436e-07,5.712017386973624e-07,3.4370617245706924e-06,0.9999883114268772,8.592638287712197e-07,2.7052336261306904e-07,4.345601139530449e-07,1.1296491870794652e-06
1-5A-rep3,1.8591911351770956e-06,1.0318027154922352e-06,3.6029728268474917e-07,0.03357856230735996,0.9663582254334366,7.467564408150684e-07,9.423558117369968e-07,5.3297563281109786e-05,5.297975717156976e-07,1.4175941843324114e-06,4.463033735689113e-07,7.16927525232399e-07,1.8636698814957993e-06
1-5B-rep1,4.810147806415602e-06,2.6695069025842133e-06,9.321705289856951e-07,3.6305219651150772e-06,0.9722310361130229,1.9320277446197966e-06,2.4380875397504164e-06,0.02773968180507322,1.3707060985904653e-06,3.667636655068571e-06,1.1546877309975402e-06,1.8548535960650996e-06,4.821735335730253e-06
1-5B-rep2,1.245003271734971e-06,6.909444286106157e-07,0.01514962245867697,9.396825017820282e-07,1.8917625498828388e-06,5.000638150715813e-07,6.310465054144473e-07,3.7971624440962233e-06,0.9848377056294876,9.49288840772256e-07,2.9886607663214877e-07,4.8008894708191e-07,1.248002454398095e-06
1-5B-rep3,2.341794727136928e-06,1.2996351547013592e-06,4.538222352875725e-07,1.7675001968383819e-06,0.9734629759169052,9.405973718725219e-07,1.1869698759091447e-06,0.026522768258167666,6.673209313552313e-07,1.7855692850931107e-06,5.621535447067115e-07,9.030255505002918e-07,2.3474360537949993e-06
1-5C-rep1,3.945689787885261e-06,2.189755190093566e-06,7.646450555803712e-07,0.00950424637038059,0.3417484225839549,1.5848124524759507e-06,1.999925468970578e-06,0.6487262894681148,1.1243689951038393e-06,3.0085055757073293e-06,9.471724719803237e-07,1.5215076930182745e-06,3.955194858815236e-06
1-5C-rep2,1.2461558532320441e-06,6.915840813585257e-07,2.4149564787938423e-07,9.670943221274327e-05,0.05832514130294562,5.005267570683553e-07,6.316307067112999e-07,3.800677727368007e-06,0.941568058192442,9.501676599513632e-07,2.991427566360085e-07,4.805333970282822e-07,1.2491578124360194e-06
1-5C-rep3,2.0669009141692204e-06,1.1470762395228625e-06,4.005498783119243e-07,0.04341900881547592,0.20824805051390835,8.301844500971097e-07,1.0476362821977121e-06,0.7482160220832506,5.889868258217042e-07,1.5759685274309004e-06,4.961646134024414e-07,5.374513131945841e-05,5.501998831486444e-05
1-6A-rep1,2.5117627950817815e-06,1.3939630109041393e-06,6.483096205892505e-05,1.8957858190013707e-06,0.023296417449717485,1.0088661727877234e-06,1.2731204569908924e-06,0.9766239478326009,7.157552574245703e-07,1.9151663663624815e-06,6.029547946091602e-07,9.685673788871988e-07,2.517813570690099e-06
1-6A-rep2,1.7112638031348446e-06,9.497068943532336e-07,0.0022798920036645543,0.0034206321591179305,2.600237966627381e-06,6.873404475451683e-07,8.673768714724794e-07,0.028236697693436872,0.9644298764697549,0.001623299683908123,4.1079305616025155e-07,6.598848822955391e-07,1.715386196101123e-06
1-6A-rep3,2.1206860591016967e-06,1.1769255958071406e-06,0.9148490780312462,1.6006155379286119e-06,3.222348533330786e-06,8.517876100081927e-07,1.0748979999163735e-06,0.0851352007814635,6.043135120566235e-07,1.6169785705712425e-06,5.090758688280276e-07,8.17763262410245e-07,2.125794740345179e-06
1-6B-rep1,0.004103077471541605,2.4664844556160835e-06,8.6127670900604e-07,3.3544120017298246e-06,0.013441161728689496,1.7850923686732816e-06,2.2526650942180727e-06,0.9823192990946082,1.2664605894514621e-06,3.3887040298780512e-06,1.0668709404118852e-06,0.00011556470825307092,4.4550307186547145e-06
1-6B-rep2,1.6164511183178532e-06,8.970883207131637e-07,3.132560899754775e-07,1.2200376218711035e-06,2.45617160916257e-06,6.492583043386748e-07,8.193197982253174e-07,0.9999877035789962,4.6062605456665297e-07,1.2325100207444454e-06,3.8803303956469127e-07,6.233239165075808e-07,1.620345109827683e-06
1-6C-rep2,1.5314128455457598e-06,8.498942914889132e-07,0.0007064445297847215,4.0386284621875035e-05,0.035937401522966796,6.151021185077326e-07,7.762170160257751e-07,0.9633078977193318,4.3639343557169385e-07,1.1676701241644147e-06,3.676193944571142e-07,5.905320871496341e-07,1.5351019819205148e-06
1-7A-rep1,5.543033876983353e-06,3.0762396066352194e-06,0.0005690610930113301,4.183677311729224e-06,0.9969674194112785,2.226396291900969e-06,2.8095606147200994e-06,1.690581907845364e-05,0.0024155238526097317,4.226446888055248e-06,1.3306188225068024e-06,2.1374636983337866e-06,5.5563869110535294e-06
1-7A-rep2,1.5706633848781258e-06,8.716773197647082e-07,3.0438277102161106e-07,1.1854787312349264e-06,0.8552570522798166,6.308673577547009e-07,7.961116751352289e-07,0.14211805155894233,0.0026157822259185058,1.1975978358647896e-06,3.770415823037476e-07,6.056675896244292e-07,1.5744470748494508e-06
1-7B-rep2,2.1704446811142916e-06,1.20454033661584e-06,4.206158829111225e-07,1.6381715086473579e-06,0.9266985710303822,8.7177349030363e-07,1.100118820815526e-06,0.04637752373280577,0.0008902281627530229,1.654918474570801e-06,5.210205475908413e-07,8.369508139553776e-07,0.026023258519502428
1-7C-rep1,3.8019644358251884e-06,2.1099913585354217e-06,7.367921614801525e-07,2.8695823809072147e-06,0.6807028476151583,1.5270842123135702e-06,1.9270763582766123e-06,0.31927400768357966,1.0834128281586063e-06,2.8989180140163797e-06,9.126708501308415e-07,1.4660853865022918e-06,3.811123275870525e-06
