,11_1,11_2,11_3,11_4,11_5,11_6,11_7,11_8,11_9,11_10,11_11
1-1A-rep2,1.853062729263082e-07,8.358860249315671e-07,4.872224112906057e-07,0.6200644176088974,3.839004987415476e-07,6.911506291543103e-07,1.3102748542303693e-06,1.93821723647454e-06,2.0600503443716942e-07,0.3799287588668824,7.855612578931787e-07
1-1B-rep1,6.02309489011068e-07,2.7169187345764578e-06,1.5836413789180602e-06,0.857794770168128,1.24780942154111e-06,2.246478630764744e-06,4.258846532569285e-06,0.0006653073952340068,6.695876241324118e-07,0.14152404349899325,2.553345833126183e-06
1-1B-rep2,1.9598532779810143e-07,8.840574796041196e-07,5.153006559327011e-07,0.8675252947518393,4.0602438276678033e-07,7.309810967194773e-07,1.3857849643010709e-06,2.049915172517958e-06,2.7022162558651598e-05,0.1324406842039866,8.308325357928334e-07
1-1C-rep1,5.201674191912166e-07,2.346389409599576e-06,1.367666729522652e-06,0.34839275649865287,1.0776350336290266e-06,1.9401072255257827e-06,3.678031394151452e-06,5.440708734829657e-06,5.782702625841161e-07,0.6515880894008015,2.2051243364945347e-06
1-1C-rep2,1.723101284267122e-07,7.772625612265708e-07,4.5305188505541237e-07,0.34185684814535083,3.569762814642608e-07,6.426779395597808e-07,1.2183809260278588e-06,1.802283623008319e-06,1.9155721703244297e-07,0.6581368068868501,7.304672372772434e-07
1-2A-rep1,2.6020835740023603e-07,1.173756970481793e-06,6.841610989657527e-07,0.3907252506413428,0.4145279753667826,3.6558382213545974e-05,1.8398970643465666e-06,0.18730164827211068,2.8927370229065055e-07,0.007403216949774379,1.1030905825564577e-06
1-2A-rep2,3.6408455973389966e-07,1.6423253814831999e-06,9.57280907472425e-07,0.34887005091463746,0.45681714134497375,1.3579533415230088e-06,2.5743912275574996e-06,0.17991198413874585,4.0475290491569404e-07,0.014391979364627517,1.543448692844769e-06
1-2B-rep1,9.589806316909347e-07,4.325803414810867e-06,2.5214303238361186e-06,0.2709922256405112,1.9867279017372484e-06,3.5767815976934954e-06,0.48804089777485693,0.24094490628958112,1.0660990312758179e-06,3.4691050176227893e-06,4.065367132098707e-06
1-2B-rep2,4.2563263407255044e-07,1.9199585904873368e-06,1.1191081393087494e-06,0.3495755054749571,8.817865575770939e-07,1.587513785595571e-06,0.45167311601632576,0.19874162724342076,4.7317591603910827e-07,1.5397227615760277e-06,1.8043669118281108e-06
1-2C-rep2,4.0076348393949885e-07,5.6618916161578804e-05,1.053720135420764e-06,0.5734435154397334,8.302649388612846e-07,1.4947574612167035e-06,0.34383310369883313,0.08265938821142718,4.4552887501519327e-07,1.4497588033275064e-06,1.6989401469769099e-06
1-3A-rep1,8.86755859560764e-07,4.000009383534414e-06,2.3315310447859682e-06,0.00014205026479322558,1.8370992593582957e-06,3.3073994774338884e-06,6.2701272130488686e-06,0.9998313639861461,9.85806732289213e-07,3.2078324630857457e-06,3.759187627489124e-06
1-3A-rep2,6.626852799815723e-07,2.9892639667127904e-06,1.7423863474271665e-06,0.03989419394355502,0.019850075097769423,2.4716667221120224e-06,4.685755343931438e-06,0.9402372359402937,7.367074075139288e-07,2.3972588745981522e-06,2.809294439463683e-06
1-3B-rep2,0.6901843489135541,2.4466470864261583e-06,1.426105063932945e-06,0.14125410317314285,1.1236807515719061e-06,2.023005078043313e-06,0.011576134609569758,0.1569735294370209,6.02978877815411e-07,1.9621038845206656e-06,2.299345970033372e-06
1-3C-rep1,8.070801708162066e-07,3.640605496679175e-06,2.122041206269812e-06,0.04726230281139524,0.021746880761855922,0.000113391997307332,5.706751511801046e-06,0.9308579096917746,8.972312472587898e-07,2.919606275327476e-06,3.421421758664109e-06
1-3C-rep2,6.657020199708927e-07,3.0028719830961753e-06,1.7503182069839018e-06,1.5593506641678336e-05,1.3791402387209673e-06,0.9385950090953075,4.707086292351785e-06,6.962932819746548e-06,7.400611181874747e-07,0.06136736720219048,2.822083181168556e-06
1-3C-rep3,3.9101200890631973e-07,1.763790662149829e-06,1.0280807595686845e-06,0.11985214742111538,0.06289030325131653,1.4583866573689323e-06,2.764791471337802e-06,0.8172466364938133,4.346881575462162e-07,1.414482917820647e-06,1.657601120119333e-06
1-4A-rep1,5.870757989904088e-07,2.6482020721811573e-06,0.007067281550156863,0.058386382420923685,1.2162496631786343e-06,2.189660400729394e-06,0.0163838164078014,0.9142965743838117,6.526523267582152e-07,0.0038561626307666093,2.4887662778526125e-06
1-4A-rep3,4.1108310930742055e-07,1.854328084684631e-06,1.0808533386090555e-06,0.11369156535318502,8.516441898872147e-07,1.5332473377494436e-06,2.9067114276187954e-06,0.8721280348807904,0.014168532120858428,1.4870899682757702e-06,1.7426877101704924e-06
1-4B-rep3,1.7927258620430617e-07,8.086690595796044e-07,4.713581485905782e-07,0.5962214750347067,3.714004613426626e-07,6.686463377011543e-07,0.14198811811647075,0.2617862997047538,1.992973832534266e-07,6.485171939572672e-07,7.599828980448091e-07
1-4C-rep1,7.293870258381131e-07,3.2901445376699964e-06,1.9177640340014407e-06,1.7085274027346245e-05,1.5110769785231158e-06,2.720449199285757e-06,5.157394101480925e-06,0.9999610470380088,8.108597566773078e-07,2.6385519243098185e-06,3.0920604060511864e-06
1-4C-rep2,0.8495180913945273,7.311210969993361e-07,4.2615688407353445e-07,3.79661262488297e-06,3.357847187378103e-07,6.045259653915739e-07,1.1460528830757525e-06,1.6952927431348082e-06,1.801856021907053e-07,0.15047230576922066,6.871037336436624e-07
1-4C-rep3,3.223652224254019e-07,1.4541363338331646e-06,8.475890130756507e-07,9.572885073230713e-05,6.678466287822675e-07,1.2023496170871076e-06,2.279399602356457e-06,0.9998946063460223,3.5837350618724e-07,1.1661536986947884e-06,1.366589622846818e-06
1-5A-rep1,7.599377695698325e-07,3.42795390231447e-06,1.9980905485474924e-06,0.0836848761345012,1.57436920047718e-06,2.8343965871311054e-06,5.373414156590591e-06,0.8754461780428429,8.448230268631845e-07,0.04084891126454752,3.2215729168608216e-06
1-5A-rep2,2.1108050392110045e-07,9.521493286594043e-07,5.549901278181388e-07,4.944382232708874e-06,4.3729718077138636e-07,7.872827011382056e-07,1.492520852848189e-06,2.2078036783261274e-06,2.3465825410332312e-07,0.9999872830102448,8.948248947995784e-07
1-5A-rep3,3.482355462673222e-07,1.5708330965407861e-06,9.156093847774862e-07,0.08826110003702288,7.214423871377773e-07,1.298840093731034e-06,2.462325060116566e-06,0.8829617150646005,3.871335522979019e-07,0.028768004218633455,1.47626062220605e-06
1-5B-rep1,9.00960619719804e-07,4.064084713079075e-06,2.3688793621807303e-06,0.02318674596256256,1.86652737543577e-06,3.3603800310107816e-06,6.3705670942943625e-06,0.9767862424167179,1.001598168054037e-06,3.259218073090157e-06,3.819405282738409e-06
1-5B-rep2,0.02184720003672509,1.0519057859659201e-06,6.131363106959638e-07,3.735578622616985e-05,4.831127017520088e-07,8.697661213332591e-07,1.6488919054286338e-06,2.4391147413588596e-06,2.592433432300868e-07,0.9781070904306541,9.885754848888067e-07
1-5B-rep3,4.386292710535105e-07,1.978584275694516e-06,1.1532799604162313e-06,0.023886262933581752,9.087117951319908e-07,1.635988312034581e-06,3.1014865018593614e-06,0.9726811610846313,4.876242809355022e-07,0.0034210122143697157,1.8594630202000282e-06
1-5C-rep1,7.390448839754896e-07,3.3337095423528926e-06,1.943157264652982e-06,0.6509519157357332,1.5310852410452832e-06,2.7564708332138506e-06,5.225683471631718e-06,0.34467962454322126,8.215964002175444e-07,0.004348975970841735,3.1330025666545054e-06
1-5C-rep2,2.3341124174830377e-07,1.0528796028233715e-06,6.137039304231649e-07,5.46746087476752e-06,4.835599502597095e-07,0.002171628315720355,1.650418390742285e-06,0.12300140591948373,2.5948334147060196e-07,0.874816215356791,9.894906728123752e-07
1-5C-rep3,3.87140493613331e-07,1.746326895394318e-06,1.0179014548608047e-06,0.7563707548454492,8.020420800342286e-07,1.4439467779829074e-06,2.7374165257622208e-06,0.24356469036417766,5.3378349639688664e-05,1.4004777411936396e-06,1.6411887646416403e-06
1-6A-rep1,4.704649928053517e-07,2.122189964189241e-06,1.2369850442871763e-06,0.9189718903425581,9.746661164041544e-07,1.7547283782552035e-06,3.3265924576318393e-06,0.08094966069772438,6.486700640589598e-05,1.701903472522805e-06,1.9944228854565e-06
1-6A-rep2,0.0022360382085895073,1.4458493734315712e-06,8.427586980462007e-07,0.030781504407484797,6.640406455066365e-07,1.195497561035797e-06,0.0062710434352477445,3.3525745057891247e-06,3.563311756397835e-07,0.9607021980951372,1.3588015813638662e-06
1-6A-rep3,0.8630740637151129,1.7917698987537503e-06,1.044389335998526e-06,0.13691026996086023,8.229128580274701e-07,1.481521231228617e-06,2.80864971165912e-06,4.154680420509574e-06,4.4158367132225807e-07,1.4369210410510254e-06,1.6838958584519504e-06
1-6B-rep1,8.324407861818913e-07,3.7550030485433302e-06,0.0051254504363847,0.8591335636921461,1.7245742841912375e-06,3.1048164965906065e-06,5.886072891896364e-06,0.13571821725923428,9.2542465031662e-07,3.011348105253665e-06,3.528931971853357e-06
1-6B-rep2,3.027692558846995e-07,1.3657421617539839e-06,7.960656948481674e-07,0.8670241585704307,6.272495070038267e-07,1.12926107890859e-06,2.1408392514457635e-06,0.13184872703152625,3.365886648092453e-07,0.0011191323651801657,1.2835172482193893e-06
1-6C-rep2,2.868412003970804e-07,1.2938933312951792e-06,7.541863484056727e-07,0.7788076735532194,5.942512261085452e-07,1.0698530221945543e-06,2.0282141888796794e-06,0.21882990554604162,3.1888144115498193e-07,0.0023548587858825062,1.2159940979932645e-06
1-7A-rep1,1.0382322250357403e-06,4.683294277286023e-06,2.729805096035191e-06,0.0561126197708021,2.150914066245734e-06,3.872372177206832e-06,7.341195502091624e-06,0.940732347760854,1.154203049334018e-06,0.003127661116799972,4.401335150746096e-06
1-7A-rep2,2.9419300547716496e-07,1.327056111094368e-06,7.735163157181219e-07,0.18336159209223804,6.094820199307138e-07,1.0972735980135983e-06,0.00024349520879931883,0.8133302492493183,3.2705444487893277e-07,0.003058987713846437,1.24716030275954e-06
1-7B-rep2,4.065346847969578e-07,0.014791552676363121,1.06889424881374e-06,0.11665926024895554,8.422211821795948e-07,1.516282739560599e-06,2.8745501512177833e-06,0.8675936250084497,4.5194472059133004e-07,0.0009466782327432298,1.7234057613004065e-06
1-7C-rep1,7.12124633081242e-07,3.212276731931512e-06,1.8723763388585306e-06,0.350930885374584,1.4753143403555959e-06,2.6560643653229865e-06,5.0353341258741015e-06,0.6490477644797239,7.916691499148409e-07,2.576105352032917e-06,3.018880654744406e-06
1-7C-rep2,3.2517519669492785e-07,1.4668116641672226e-06,8.549772272879533e-07,0.4720013726967987,6.736680751180368e-07,1.2128301877316999e-06,2.2992685391617342e-06,0.5279888782543658,3.6149735535337943e-07,1.176318758880222e-06,1.3785018311436957e-06
