,16_1,16_2,16_3,16_4,16_5,16_6,16_7,16_8,16_9,16_10,16_11,16_12,16_13,16_14,16_15,16_16
1-5A-rep3,6.289278821106606e-07,3.049660003165128e-07,6.097067882345174e-07,0.8226166619730262,0.0741571355609877,7.765265403133779e-07,8.003836280847211e-07,1.167590182794398e-06,4.354391597478762e-07,9.658439201947712e-07,0.10321578997868401,1.6690018281996703e-06,3.0662356730796164e-07,3.557025708099158e-07,1.8691682534733832e-06,5.226069805783459e-07
1-5B-rep1,1.6271715699854936e-06,7.890125714603065e-07,1.577442470053843e-06,0.8880626562761297,0.028715308477682354,2.0090410135685494e-06,2.070764425852166e-06,3.0208066852773524e-06,1.1265746699324239e-06,2.4988457543177363e-06,0.08319509590418572,4.3180663512426e-06,7.933010534318488e-07,9.202789811929634e-07,4.8359399035773395e-06,1.3520965523411503e-06
1-5B-rep2,4.2116055878774075e-07,2.042199984416747e-07,4.0828918375787094e-07,1.5571444050909736e-06,1.222179497310791e-06,5.199997661645248e-07,5.359756271537171e-07,7.818749141324383e-07,0.9998257278643571,6.467758493483349e-07,0.00016481169727534822,1.1176444272487427e-06,2.053299855486287e-07,2.3819566240534586e-07,1.25168555647314e-06,3.499629356995546e-07
1-5B-rep3,7.92182646562203e-07,3.841279423508163e-07,7.679722125049251e-07,0.9195880696507946,0.017699318660756608,9.780944164326404e-07,1.0081442384671549e-06,6.146056653508329e-05,5.484688400651963e-07,1.2165540988549824e-06,0.06245953677584242,2.1022351258196177e-06,3.8621577442741843e-07,4.4803452342982435e-07,0.0001823240528921343,6.582633601758368e-07
1-5C-rep1,1.3347453463532871e-06,6.472156208950192e-07,1.293953283649844e-06,0.34184645801578667,3.873340849246357e-06,1.647987337633621e-06,1.6986181615899032e-06,2.47792411063499e-06,9.241129366740343e-07,2.049767094849133e-06,0.65812757069006,3.542047485267434e-06,6.50733400740747e-07,7.548915616224803e-07,3.966851683379376e-06,1.1091052808117606e-06
1-5C-rep2,4.2155045413160136e-07,2.044090579935587e-07,4.08667163244255e-07,0.11463669783672417,0.0063219578059772255,5.204811633025182e-07,5.364718141709714e-07,7.825987458924187e-07,0.8774331622166099,6.473746112383568e-07,3.727266807486634e-05,1.1186791023843497e-06,2.0552007268677574e-07,2.3841617540866924e-07,0.0015654750173345446,3.502869188368783e-07
1-5C-rep3,6.991918115589876e-07,3.390368534936147e-07,6.77823333821438e-07,0.24149817374689372,2.029007415211595e-06,5.381122773839443e-05,8.898026224956666e-07,1.298033555654738e-06,4.840864963819043e-07,1.0737481664477946e-06,0.7584352735260234,1.855462994958877e-06,3.4087960414992537e-07,3.9544172223074427e-07,2.077992047146436e-06,5.809927209104929e-07
1-6A-rep1,8.496792561168098e-07,4.1200794504489847e-07,8.23711628967535e-07,0.08326423074508649,2.4657118157154397e-06,0.005084222230442438,6.542527921115347e-05,1.5774100436391165e-06,5.882767036771399e-07,1.3048515847030633e-06,0.9115717192012255,2.2548153328536522e-06,4.142473119553485e-07,4.805528652193351e-07,2.5252394373715753e-06,7.060401090965312e-07
1-6A-rep2,5.788870939366386e-07,2.807013120172713e-07,5.611953307110959e-07,2.1403020313616512e-06,1.6798912497971068e-06,7.147420317542697e-07,7.367009249796685e-07,1.0746906077028906e-06,0.9669699453713524,8.889963317917348e-07,0.031263547641665154,1.5362073229430247e-06,0.0017537857986291128,3.274010158858138e-07,1.7204474616398762e-06,4.810256388104757e-07
1-6A-rep3,7.17386208546615e-07,3.4785928391102024e-07,6.954616794358215e-07,2.65237068766161e-06,2.081806326458691e-06,8.857445288030931e-07,9.129571015480177e-07,1.3318110362035809e-06,4.966834143462088e-07,1.101689283723651e-06,0.03494056851863493,1.90374592643495e-06,0.9650431700569906,4.0573192237438576e-07,2.132065638424078e-06,5.961113364840901e-07
1-6B-rep1,1.5034220502934963e-06,7.290066516481559e-07,0.005124715460458324,0.09461505602345646,0.00023206318416376967,1.8562495900600574e-06,1.9132788184206374e-06,2.7910685413219614e-06,1.0408965049049027e-06,2.3088037405650233e-06,0.9000047322535065,3.98966912084531e-06,7.32968986338136e-07,8.502899990807176e-07,4.468157395963594e-06,1.2492670154835744e-06
1-6B-rep2,5.468138921594284e-07,2.651490740873599e-07,5.301023399243723e-07,0.09909320954504905,0.010395188214562515,6.751417959859854e-07,6.958840581608749e-07,1.0151474445023994e-06,3.785874160027662e-07,8.39741547866846e-07,0.8897157825870697,1.4510938561608955e-06,2.665902260602496e-07,0.000787075901041209,1.6251261819598968e-06,4.543744445876719e-07
1-6C-rep2,5.180471674615216e-07,2.5120014095390516e-07,5.022147747162181e-07,0.03648613387977858,0.13314928576244595,6.396240111314692e-07,6.592750666743536e-07,9.617426801346537e-07,3.586707311372174e-07,7.955645174891382e-07,0.8303560036040545,1.3747548712346788e-06,2.525654769633631e-07,2.92991795257116e-07,1.539631723706136e-06,4.3047076411313314e-07
1-7A-rep1,1.875089454356639e-06,9.092275082665218e-07,1.8177835669035312e-06,0.20746245673347014,0.026700608060540965,0.4893190405184185,2.3862686695090758e-06,3.481060549296652e-06,0.002983205137101046,2.879573001651461e-06,0.2735072590588003,4.97597231157341e-06,9.141693886855052e-07,1.0604938314626414e-06,5.572749722502324e-06,1.5581036648701175e-06
1-7A-rep2,5.313248305461302e-07,2.576384559334767e-07,5.150866500851531e-07,0.20862471613717798,0.02478680995717946,0.42328153311191785,6.76172431943772e-07,9.863923570038255e-07,0.0028571114256787083,8.15955011422443e-07,0.34044205667149324,1.4099901415935968e-06,2.590387858057902e-07,3.0050123954776066e-07,1.5790928241343389e-06,4.415038246772423e-07
1-7B-rep2,7.342185139328981e-07,3.5602123855760663e-07,7.117795612591105e-07,0.1834841240228015,0.09646887166501043,0.39921197308013767,9.343781611596391e-07,1.3630598249468398e-06,0.0004453117540583518,1.1275386382881902e-06,0.30269804285382107,0.017682884230935867,3.579563036228118e-07,4.1525176474242534e-07,2.182091105183832e-06,6.100981234342514e-07
1-7C-rep1,1.2861263003291487e-06,6.236403328104354e-07,1.246820117444966e-06,0.2524524519465763,3.732251661311598e-06,0.29150465759274724,1.6367447901626032e-06,2.3876639672237864e-06,8.904514674489043e-07,1.975102874445208e-06,0.456019453147565,3.41302589311399e-06,6.27029975029994e-07,7.273941010184539e-07,3.8223562969807006e-06,1.0687053342296435e-06
1-7C-rep2,5.872799433845744e-07,2.8477098963882295e-07,5.693316805639022e-07,0.2237466271800951,1.7042467320597586e-06,0.22218862043623666,7.473817987049103e-07,1.0902717401344736e-06,4.0660414708592033e-07,9.018852223036243e-07,0.554054050274619,1.5584796398029486e-06,2.863187916628441e-07,3.3214775745979615e-07,1.745390937975535e-06,4.879996684777796e-07
1-8A-rep1,1.6775522581637843e-07,8.134420766610686e-08,1.626283439665722e-07,6.202364059365717e-07,4.868143354868386e-07,2.071245190871682e-07,2.1348796911099568e-07,3.114337276927999e-07,0.1744340685451868,2.576215326817734e-07,0.8255621632055279,4.4517628577376485e-07,8.178633391438687e-08,9.487727732698069e-08,4.985670875298567e-07,1.393960333670029e-07
