,6_1,6_2,6_3,6_4,6_5,6_6
1-8C-rep2,5.105036765362019e-06,7.630790394818544e-07,0.8753016488460548,0.12463661308575476,5.3972217394710846e-05,1.897734990896067e-06
1-9A-rep1,0.27568034287047066,9.889806667357247e-07,7.773227795117305e-07,0.724309324073875,6.107212475588943e-06,2.459539732422092e-06
1-9A-rep2,0.23598003923703914,4.1054439348763906e-07,0.00047736572573163917,0.7635386282735812,2.535218256557487e-06,1.0210009979657196e-06
1-9B-rep2,0.6717900277793891,6.661455039016265e-07,0.002537673029241851,0.3256658627576701,4.1136214981972195e-06,1.6566666968609226e-06
1-9C-rep1,0.7580099141749499,1.6162485002052685e-06,0.0049050498035534155,0.2370694194989027,9.980754261542305e-06,4.0195198323171395e-06
1-9C-rep2,0.6244421795051369,5.068422043366643e-07,0.004711909272228108,0.37084101400990155,3.1298822490602107e-06,1.2604882800682072e-06
2-10A-rep1,0.9855925004981153,7.660601937397058e-07,6.021108997373008e-07,0.009058630706393223,0.005296143023083771,5.135760131430594e-05
2-10A-rep2,0.8201079926363021,8.202530638940708e-07,6.447056175866904e-07,0.17983048637247886,5.065275706034152e-06,5.4990756831601384e-05
2-10C-rep1,1.2782636840758041e-05,0.012459597605152296,1.5017743901571234e-06,0.8572589000515916,0.13026246614309142,4.751788933865484e-06
2-10C-rep2,1.3110419266280432e-06,1.9596893422584834e-07,0.9098714450873401,0.09012535037892877,1.2101590659828188e-06,4.873638042286257e-07
2-11B-rep1,0.5914173606163848,2.504929113491305e-07,1.9688336956128087e-07,0.3958054175222218,0.012776151523219625,6.229618928616575e-07
2-11B-rep2,0.5985707081466497,9.163227713103567e-07,7.202148509897951e-07,0.39461717554961495,0.006571590752376164,0.00023888901373691246
2-11C-rep2,0.6167567986394167,1.1669673905931222e-06,9.17217460528776e-07,0.29561905346953754,0.0667519976459544,0.020870066060240354
2-12A-rep2,0.9130912783963798,1.1310120553285078e-06,8.889571495983148e-07,0.0385631913790869,0.04834069749145794,2.812763870410605e-06
2-12B-rep2,0.990444825218857,1.1018105183582382e-06,8.660052146948088e-07,0.009543662858018918,6.803966113576893e-06,2.740141277429864e-06
2-12C-rep2,0.3885841601517036,1.1926635149058831e-06,9.374141978819964e-07,0.1897208456292955,0.06344837417813264,0.35824448996315544
2-1A-rep1,0.5040251824905314,2.1221949507131872e-06,1.6680108451452153e-06,0.4580045490615026,1.3105104998064431e-05,0.03795337313717202
2-1A-rep2,0.39454491491784593,1.3657412159449858e-06,1.0734504665051995e-06,0.5842813548397994,8.43380671937248e-06,0.021162857243952976
2-1B-rep1,0.6245580700050792,1.5474681488458897e-06,1.216284891227498e-06,0.3512510100613425,0.014894010574278442,0.009294145606259756
2-1B-rep2,0.628128408664341,8.08353827472354e-07,6.353530105636172e-07,0.35871310843527715,0.008876048546952304,0.004280990646591532
2-1C-rep1,0.8915698250761946,1.2239491022671644e-06,0.00015898427229374211,0.08961273696622624,0.017864074502407363,0.0007931552337757875
2-1C-rep2,0.8725807777567783,6.348070430502771e-07,4.989480500019965e-07,0.12741258966007207,3.920098363201234e-06,1.578729693429646e-06
2-2A-rep1,0.28782741104420045,1.662385183256921e-06,1.306607818263541e-06,0.25725095023211386,0.45491453547149563,4.134259188610368e-06
2-2A-rep2,0.32306817725764525,1.160324201710905e-06,9.119960217075391e-07,0.31550850061786373,0.3614183641427249,2.8856615428272325e-06
2-2B-rep1,0.06305202072109808,1.9767694647535485e-06,1.5537087695231468e-06,0.28293171898244523,0.6540078137028685,4.9161153538497955e-06
2-2B-rep2,0.06682695129338596,1.0918699155580178e-06,8.581920619623153e-07,0.289634875111631,0.6435335081134527,2.715419552957669e-06
2-2C-rep1,0.006652853471550098,1.5358081844045849e-06,1.2071203481040832e-06,0.8532420867048204,0.14009849742584146,3.819469255541577e-06
2-2C-rep2,6.772415755270397e-06,1.0123117123402412e-06,0.8771155839787319,0.12286786244331778,6.251287741746308e-06,2.5175627409533536e-06
2-3A-rep1,0.5353936282405225,1.938186018511828e-06,1.5233828059481984e-06,0.33020920357356887,1.1968802050839844e-05,0.13438173781503324
2-3A-rep2,0.6213876487698425,5.795856619607544e-07,4.555449392226281e-07,0.23994732062929178,3.5790919928519304e-06,0.1386604163782717
2-3B-rep1,0.7119050057231218,2.1248147848888245e-06,1.6700699923578578e-06,0.22086152456513714,1.3121283154523481e-05,0.06721655354380929
2-3B-rep2,0.5931236708415604,1.1123330033586876e-06,8.742757174083926e-07,0.3357051209487897,6.868945191359122e-06,0.07116235265573793
2-3C-rep1,0.3288515023015364,1.5413093437760853e-06,1.2114441702343034e-06,0.5827780889714773,9.517985507361272e-06,0.08835813798796502
2-3C-rep2,0.36947405293661195,8.245755984290582e-07,6.481030596927753e-07,0.5637670731702168,5.091968479438279e-06,0.06675230924603368
2-4A-rep1,0.08068786172113455,1.4042443815394198e-06,1.103713330792175e-06,0.8940967766977715,0.025118711382753123,9.414224062849598e-05
2-4A-rep2,0.09547937458999432,5.477775067219992e-07,4.3054424459536207e-07,0.8690474439570492,0.03547084083911225,1.3622920928846497e-06
2-4B-rep2,0.4544215959244562,9.144295920734746e-07,7.18726842784959e-07,0.3700126492942647,0.1755618474894746,2.2741353697344155e-06
2-4C-rep2,0.056935789560115226,1.3483847996940955e-06,1.0598086045595708e-06,0.2616697764580764,0.681388672430648,3.353357756110556e-06
2-5A-rep1,0.5704028939876861,0.2989116633611493,8.650822597172222e-07,0.1306750436332557,6.79671470875242e-06,2.7372209404753277e-06
2-5A-rep2,0.6294516365014176,0.276993535754028,5.80771512115232e-07,0.09354784638146713,4.5629629257549286e-06,1.8376286494569593e-06
2-5B-rep1,0.6032381661092185,0.036676318005000014,5.898880780764968e-07,0.36007842493388725,4.634589291070171e-06,1.8664745250648531e-06
2-5B-rep2,0.019879146521028478,9.930381679098941e-07,0.9800998097830065,1.1448758686534159e-05,6.132268599155437e-06,2.469630511431107e-06
2-5C-rep1,0.21489613033373295,0.4929627378628823,0.008864351911700458,0.2832154807011961,5.9217040535695886e-05,2.0821499524478253e-06
2-5C-rep2,0.20950519787872662,0.47201442355827805,0.008664784417723722,0.3097979809892586,1.2556367165185366e-05,5.056788847791871e-06
2-6A-rep2,0.6752252411364057,1.3935070655801426e-06,1.095273974425878e-06,0.3247601992401886,8.60526805222831e-06,3.4655743135180456e-06
2-6B-rep2,0.43052656804316825,9.707596838162677e-07,7.630013821732597e-07,0.5187659472755999,0.05070333669500121,2.4142251646438275e-06
2-6C-rep2,0.5364975953287147,0.04952833377766363,6.790813945300245e-07,0.4139659077628859,5.33535678347056e-06,2.148692557864235e-06
