,2_1,2_2
5-6A-rep1,0.00010221344976948872,0.9998977865502305
5-6B-rep1,3.3906476459754988e-06,0.9999966093523541
5-6B-rep2,7.789941121805066e-06,0.9999922100588782
5-6C-rep1,6.890843125828927e-06,0.9999931091568741
5-6C-rep2,1.206041108375237e-05,0.9999879395889162
5-7A-rep1,6.450157587054622e-06,0.9999935498424131
5-7A-rep2,1.3236678345863572e-05,0.9999867633216541
5-7B-rep1,3.2874365286701708e-06,0.9999967125634713
5-7B-rep2,5.025807157737353e-06,0.9999949741928423
5-7C-rep1,4.23255865186754e-06,0.9999957674413482
5-7C-rep2,5.284666777638525e-06,0.9999947153332225
5-8A-rep1,4.28245087500486e-06,0.9999957175491251
5-8A-rep2,7.071038148092706e-06,0.9999929289618519
5-8B-rep1,0.00017112940794524882,0.9998288705920547
5-8C-rep1,0.1200459395629865,0.8799540604370135
5-9A-rep1,0.0661870906489033,0.9338129093510967
5-9A-rep2,6.821310691906042e-06,0.999993178689308
5-9B-rep1,0.02953633383376864,0.9704636661662314
5-9B-rep2,0.01971346362038599,0.980286536379614
5-9C-rep1,4.613361217881286e-06,0.9999953866387822
5-9C-rep2,8.803072070854074e-06,0.9999911969279291
