,19_1,19_2,19_3,19_4,19_5,19_6,19_7,19_8,19_9,19_10,19_11,19_12,19_13,19_14,19_15,19_16,19_17,19_18,19_19
1-1C-rep1,4.155225848274693e-07,1.2850008288217882e-06,1.117114714507653e-06,9.058450768163363e-07,2.734942838924053e-06,2.304603718469138e-06,7.383336732441451e-07,4.759238393392309e-07,7.383718282470437e-07,0.9999709010690588,9.371562527585706e-06,9.538733512801425e-07,1.7893882839932924e-06,3.561801186626456e-07,1.9168944579565754e-06,1.8081026568975527e-06,3.069829452908362e-07,1.0355859620803396e-06,8.447015342636318e-07
1-1C-rep2,1.376453782816324e-07,4.256674164867041e-07,3.700537180818446e-07,3.0006885983035085e-07,9.059729973489913e-07,7.6341951605267e-07,2.4457928753488806e-07,1.576538058124937e-07,2.4459192670300806e-07,0.9780501148063186,0.02194335033568105,3.159786328443246e-07,5.927500363072812e-07,1.179876833652088e-07,6.349875372019848e-07,5.989493309588103e-07,1.0169070268012406e-07,3.4304662778530466e-07,2.798145430941364e-07
1-2A-rep1,2.078606281733846e-07,6.428076095866625e-07,5.588244171991429e-07,4.5313909176078094e-07,1.3681252410217292e-06,1.1528528029604347e-06,3.693433443234224e-07,2.3807569508843154e-07,3.693624309462921e-07,0.010428181214529254,0.21082743211435132,3.60650688452265e-05,8.951219171669729e-07,1.7817520854811987e-07,0.7786998892721954,9.044835775189986e-07,1.535648606757768e-07,5.180405505393554e-07,4.225527033722212e-07
1-2A-rep2,2.9083954252143317e-07,8.994193500922911e-07,7.819096828305269e-07,6.34034291652152e-07,1.914287100483875e-06,1.613076919636181e-06,5.167868982227719e-07,3.3311660247285674e-07,5.168136043128694e-07,0.014640953653731609,0.09113096734698618,6.676510477159582e-07,1.2524586843478291e-06,2.4930356748258613e-07,0.8942156127933851,1.265557562369852e-06,2.1486865607399025e-07,7.248447098925373e-07,5.912376769950881e-07
1-2B-rep1,7.66058887634287e-07,2.3690320128930817e-06,2.059516586591693e-06,1.6700191451760615e-06,0.4995830418508768,0.03240009175946416,1.3611945369063266e-06,8.77414851263094e-07,1.361264879602838e-06,3.4101536619218877e-06,0.2746605778846844,1.7585642396045975e-06,0.1933290987541611,6.566549098972508e-07,3.5339933129850593e-06,3.333424368850266e-06,5.659548293622588e-07,1.909209894067118e-06,1.5572946967242574e-06
1-2B-rep2,3.40005722683887e-07,1.051465435108313e-06,9.140908573830888e-07,7.412172556407788e-07,0.45935723660564187,0.020026992793996733,6.041492889188171e-07,3.894296840789386e-07,6.041805096509944e-07,1.5135543481069587e-06,0.355744380724786,7.805168960564904e-07,0.1648593220423787,2.914481259828733e-07,1.568519039120054e-06,1.479499004369083e-06,2.5119202174913604e-07,8.473790987428833e-07,6.911859092538737e-07
1-2C-rep2,3.2013960461390063e-07,9.900295971598086e-07,8.606816478082521e-07,6.979088389475653e-07,0.3862020628667331,5.6586817342621295e-05,5.68849585693768e-07,3.666757844598357e-07,5.688789822367912e-07,0.005153681128088255,0.5426932495148479,7.349122494926625e-07,0.06588448206772983,2.744191688337164e-07,1.476872392174787e-06,1.3930536890572875e-06,2.3651517948037675e-07,7.978677755428443e-07,6.508007628711624e-07
1-3A-rep1,7.083636213904606e-07,2.190609785920283e-06,1.904405328547376e-06,1.5442426536183809e-06,4.662403644029498e-06,3.928781480223404e-06,1.2586769857308816e-06,8.113328773221056e-07,1.2587420306093414e-06,3.1533199815966876e-06,1.5976204934526323e-05,1.6261190272995922e-06,3.050466114734653e-06,6.071993387024103e-07,0.9999505080055322,3.082369509271e-06,5.233302804024885e-07,1.7654188945347999e-06,1.440007979478444e-06
1-3A-rep2,5.29369702318693e-07,1.6370722821603285e-06,1.4231878253267309e-06,1.1540333935403867e-06,3.484277219494608e-06,2.9360314672549415e-06,9.406263127175318e-07,6.063200181092129e-07,9.40674921633783e-07,2.356518614968932e-06,1.193923374237034e-05,1.2152207135180535e-06,2.2796545309887225e-06,4.537682674133595e-07,0.9999630139640329,2.303496368653269e-06,3.910917873044155e-07,1.3193213858628409e-06,1.076137413630474e-06
1-3B-rep2,4.332772795660541e-07,1.3399071041666828e-06,1.1648474526747014e-06,9.445505609622868e-07,2.851803093951435e-06,2.4030761890613597e-06,7.698816310744296e-07,4.962593946010269e-07,7.699214163868564e-07,1.9287578610341833e-06,0.06365756958100628,9.946310159406129e-07,1.865846324810237e-06,0.7426321914709428,0.048516753603067744,0.14517524185623237,3.20099894122519e-07,1.0798350914987427e-06,8.807944409639792e-07
