,14_1,14_2,14_3,14_4,14_5,14_6,14_7,14_8,14_9,14_10,14_11,14_12,14_13,14_14
1-2B-rep2,1.334903721101562e-06,4.929025648373189e-07,6.84745662744657e-07,9.768786529487266e-07,4.316633387346678e-07,0.13237778811704326,0.004600661745289856,1.0454033785678824e-06,0.02334568659837625,3.0284732791389395e-07,0.47856780361296014,0.34340374286450387,0.01769860858896761,4.3912821222039936e-07
1-2C-rep2,1.256906895325808e-06,4.6410285826199076e-07,6.447367937052284e-07,9.19800803143034e-07,4.0644176680191074e-07,0.03880868041050416,0.011402503040128104,9.843217111078063e-07,2.311105395919315e-06,2.8515232122647494e-07,0.4044545796300881,0.5453246736259251,1.8772543325380431e-06,4.134704766696218e-07
1-3A-rep1,2.7811229949743514e-06,1.0269075107676691e-06,1.4265912052418573e-06,2.035217703021574e-06,8.993224143923488e-07,0.9999533649866521,3.896745206667216e-06,2.177981324945168e-06,5.113718752202739e-06,6.309486252183335e-07,5.082911851096118e-06,1.6494922565704432e-05,4.153748548163908e-06,9.148746455964169e-07
1-3A-rep2,2.078370245815656e-06,7.674216564463116e-07,1.066110603261657e-06,1.5209452891371795e-06,6.720756150827457e-07,0.9999651490335628,2.9120895795321023e-06,1.6276344447505973e-06,3.8215501145593e-06,4.7151630893770367e-07,3.79852770715715e-06,1.23268752692865e-05,3.1041515987262052e-06,6.836980045452007e-07
1-3B-rep2,1.7010993979367091e-06,6.281174013016554e-07,8.72587600305361e-07,1.244859582095563e-06,5.500788064527585e-07,0.11357519780226863,7.656510833598107e-05,1.3321822613658946e-06,0.05608443890519425,3.8592551585364166e-07,0.014839434684856602,0.06491901409966946,2.540678412005028e-06,0.7504960938706977
1-3C-rep1,2.5312358657217174e-06,9.346386789549762e-07,1.2984103295527437e-06,0.0003329991350754696,8.185172515818043e-07,0.9276571740134828,3.546618126749266e-06,1.9822871748339047e-06,0.07197388864439089,5.742571588766374e-07,4.626206321347939e-06,1.501283462689812e-05,3.780529419699024e-06,8.326720967601264e-07
1-3C-rep2,2.0878316384770654e-06,7.709152003146988e-07,1.0709638728166164e-06,1.5278691087145714e-06,6.751351138920931e-07,3.835149282801384e-06,2.9253463238646493e-06,1.6350439467977055e-06,3.838947008246502e-06,0.04716244019380607,3.815819795631286e-06,1.2382991068406381e-05,0.9528023069834218,6.868104121135093e-07
1-3C-rep3,1.2263234636453429e-06,4.528101697493027e-07,6.290488666555048e-07,8.974199369649787e-07,3.9655210508289244e-07,0.875376685640333,1.718251974982357e-06,9.603709030446039e-07,0.0521963685374641,2.782139103010616e-07,2.241286731260743e-06,0.07241591055792804,1.8315764228698395e-06,4.0340979029568244e-07
1-4A-rep1,1.8412365581222786e-06,6.798619313322449e-07,9.444716703768993e-07,1.347411547534068e-06,5.953944898913962e-07,0.18869131348837961,2.579831868338351e-06,1.4419278995007642e-06,0.7408644673164191,4.177181941065867e-07,0.002572732706267973,0.06785828296357913,2.749980383444803e-06,6.056908114510847e-07
1-4A-rep3,1.2892722135221136e-06,4.7605349417569597e-07,6.613387485188557e-07,9.434856486806386e-07,4.1690763118672076e-07,0.16293560141821603,1.806452043728422e-06,1.0096679682617845e-06,0.7141424421947017,2.9249498570324013e-07,2.3563348421636105e-06,0.1229103546685958,1.92559358028498e-06,4.241173301413912e-07
1-4B-rep3,5.622485171850454e-07,2.0760578595720568e-07,2.884082405653758e-07,4.114518263810865e-07,1.8181241709809252e-07,1.0327973566926364e-06,7.877893995539673e-07,4.403137770677541e-07,0.427187934427656,1.2755636107788271e-07,0.04011339454335402,0.5326936063420213,8.397467376253996e-07,1.8495654950403343e-07
1-4C-rep1,2.2875668065294566e-06,8.446658199773631e-07,1.1734190445713175e-06,1.6740347226305302e-06,7.397228052299208e-07,0.8927235877649635,3.2052034391801136e-06,1.791462582988553e-06,0.10724225957963322,5.18976375472443e-07,4.180865230374289e-06,1.3567626245141003e-05,3.416597294912988e-06,7.525150362582452e-07
1-4C-rep2,5.083312003090868e-07,1.8769724621969116e-07,2.607510782591865e-07,3.719952910161747e-07,1.643773551903427e-07,9.337563443156803e-07,7.122436410699248e-07,3.980894995154153e-07,9.346809889557859e-07,0.9999906576614097,9.290501308291835e-07,3.0149273520020297e-06,7.592184844344717e-07,1.672199782493496e-07
1-4C-rep3,1.0110274812595222e-06,3.733138433553879e-07,5.186116959332692e-07,7.398669644668731e-07,3.2693256540842565e-07,0.875519976352621,1.4165919660964887e-06,7.917661236733249e-07,0.12437675144915136,2.2937007838609923e-07,1.8478016166722166e-06,9.417430866134825e-05,1.5100209304027142e-06,3.325863006695516e-07
1-5A-rep1,2.3833830983014787e-06,8.800452224174567e-07,1.2225684994526234e-06,1.7441528057231114e-06,7.707065981115195e-07,4.378049365493543e-06,0.08512585089869315,1.8664992118906437e-06,0.8039392126808987,5.407140539844404e-07,4.355983614514861e-06,0.11091245057950103,3.5597037966957895e-06,7.840346404381748e-07
1-5A-rep2,6.620070790592992e-07,2.444408402274312e-07,3.395799029746101e-07,4.844548512459852e-07,2.1407100863941695e-07,1.2160444011259774e-06,9.275652018144129e-07,5.184377166267507e-07,1.2172485792228403e-06,0.996841129983707,1.2099154311911578e-06,0.0031506297370630524,9.88741220178273e-07,2.1777299778943472e-07
1-5A-rep3,1.0921642067809007e-06,4.032729328985552e-07,5.602311925395271e-07,7.992425837561719e-07,3.5316947619001737e-07,0.04591458057184402,0.06348852367274962,8.553067413562166e-07,0.7696567818515999,2.477774287675602e-07,1.9960909316205296e-06,0.12093181616862497,1.6312027538769784e-06,3.59276933604651e-07
1-5B-rep1,2.8256734548575967e-06,1.0433574131793675e-06,1.4494435905458392e-06,2.0678195997359513e-06,9.137285471728443e-07,0.25926451117977395,3.959166678611666e-06,2.2128701341847327e-06,0.703973113444914,6.410557119839936e-07,5.164334377507762e-06,0.036736948108972295,4.220286924350241e-06,9.295299076148511e-07
1-5B-rep2,7.31365491479912e-07,2.7005088148715113e-07,3.7515765388587326e-07,5.352111353323007e-07,2.3649920582064266e-07,1.343449245821781e-06,1.024746110976096e-06,5.72754381964068e-07,1.3447795855318833e-06,0.9960317741537349,1.3366781443480407e-06,0.003959122233842078,1.0923315343843265e-06,2.405890519866434e-07
1-5B-rep3,1.375664930731721e-06,5.079533167791875e-07,7.056543328316988e-07,1.006707587370463e-06,4.448441543707937e-07,0.18501188961578705,0.0049811029543377575,1.0773247116110763e-06,0.768295301015668,3.12094753944623e-07,2.5142302559754535e-06,0.04170125477770166,2.0546254944900722e-06,4.5253696734624617e-07
1-5C-rep1,2.3178567416851255e-06,8.558501372363374e-07,1.1889564210837942e-06,1.6962008089070422e-06,7.49517559962167e-07,0.039727602683946095,3.247643906517015e-06,1.8151835450682814e-06,0.35316804671161944,5.258482013424089e-07,4.236224547689596e-06,0.607083493006538,3.4618368526039628e-06,7.624791743926454e-07
1-5C-rep2,7.320425644369957e-07,2.7030088528282045e-07,3.7550496190771485e-07,5.357066153491801e-07,2.3671814863172458e-07,6.519059113665744e-05,1.0256947855959699e-06,5.732846182243192e-07,0.11818010354061438,0.881743942779461,1.337915594890083e-06,4.341766055297853e-06,1.0933427772590824e-06,2.4081178103630224e-07
