,18_1,18_2,18_3,18_4,18_5,18_6,18_7,18_8,18_9,18_10,18_11,18_12,18_13,18_14,18_15,18_16,18_17,18_18
1-1C-rep2,0.8603363478509103,7.010086064573767e-07,1.4630121971503944e-07,6.129301043274871e-07,6.74016586317515e-07,5.747973079415262e-07,2.411097638347282e-05,7.484988037998769e-07,1.069798871898143e-07,2.1276258759386136e-07,2.4747973038553945e-07,0.13963319536621013,1.0581500572394764e-06,2.8028546857450444e-07,2.3115970524600214e-07,4.105576175441995e-07,1.1770782801965378e-07,2.2317098562879047e-07
1-2A-rep1,0.007011801659782708,1.0586050091797033e-06,2.2093195805700562e-07,0.7850700532603637,1.0178439008784255e-06,8.680111825230574e-07,3.6410395165825665e-05,1.1303207632098361e-06,1.6155214560479562e-07,3.2129639910004694e-07,3.7372334639446944e-07,0.2078730773706273,1.5979303830781263e-06,4.232638491169389e-07,3.4907819909740363e-07,6.199900350518742e-07,1.7775259135687223e-07,3.370142978473886e-07
1-2A-rep2,0.0132965776487074,1.4812049468373402e-06,3.09129001233495e-07,0.9281257345456648,1.4241718185875413e-06,1.2145251971361377e-06,1.1508355756466013e-06,1.5815499562737826e-06,2.2604449739703487e-07,4.495593839261973e-07,5.229154071895416e-07,0.058564423616817005,2.2358314646093085e-06,5.922327040708318e-07,4.884318049248634e-07,8.674928787842157e-07,2.487122348258801e-07,4.715519393898176e-07
1-2B-rep1,0.04000658668095835,3.901429908877259e-06,8.142324488510876e-07,3.4112332131829754e-06,0.004594254464636297,3.1990069566735835e-06,3.0312512421825517e-06,4.165734333364777e-06,5.953914512403839e-07,1.184120016619624e-06,1.3773366162313022e-06,0.03280456400059602,0.922565886610383,1.5599153848430498e-06,1.2865082959988443e-06,2.2849388062423487e-06,6.550972934064546e-07,1.24204745862663e-06
1-2B-rep2,0.02788540611205748,1.7316013783054117e-06,3.613869949280411e-07,1.5140336419291729e-06,0.006288616641464975,1.4198396446339565e-06,1.3453833470159186e-06,1.8489096259028957e-06,2.642571266635417e-07,5.255570139020214e-07,6.11313810259629e-07,0.24985488889118337,0.7159583465567622,6.923491369889482e-07,5.710007844775125e-07,1.0141418091941043e-06,2.90756825748846e-07,5.512673920874145e-07
1-2C-rep2,0.006688486950424634,0.0007689876474365979,3.4027159685546133e-07,1.4255705165447692e-06,1.5676472183898764e-06,1.3368801587740798e-06,1.2667742511404086e-06,1.7408801082415371e-06,2.4881690744887995e-07,4.948493633387044e-07,5.755954954556672e-07,0.4120223918056493,0.5803985766042088,6.51896027613389e-07,5.376379102368422e-07,9.548867493725861e-07,2.737682616771669e-07,0.00011014151771560095
1-3A-rep1,3.3563521850673453e-06,3.60759610017819e-06,7.529090296944596e-07,0.9907330116576032,3.468687239865336e-06,2.9580757032386805e-06,2.802954407837884e-06,0.009221071869465608,5.505499080444499e-07,1.094938741403462e-06,1.2736033509259165e-06,1.4106095891955673e-05,5.44555086019842e-06,1.4424313111874468e-06,1.1896157101097196e-06,2.1128500368004535e-06,6.057590412051061e-07,1.1485034135259228e-06
1-3A-rep2,2.5082474263205413e-06,2.696005405432268e-06,5.626591108008922e-07,0.9999628073504476,2.5921969335671963e-06,2.2106100195682745e-06,2.0946857754774392e-06,2.8786477119047356e-06,4.114333996465851e-07,8.18262544771886e-07,9.517810262360919e-07,1.0541676428905105e-05,4.069533879894738e-06,1.0779484465386885e-06,8.890159252263678e-07,1.5789614363427306e-06,4.526919322808251e-07,8.582921494095085e-07
1-3B-rep2,2.052944550131801e-06,2.206620266457213e-06,0.7665928552535459,1.929368595010257e-06,2.121655348588032e-06,1.8093349741005483e-06,1.714453567012436e-06,0.1872366510864259,3.3674905700420093e-07,6.697296344207416e-07,7.79011532206206e-07,0.02715908453016909,0.018993813989965018,8.822767504603573e-07,7.276396975521561e-07,1.29234470315523e-06,3.705182453342974e-07,7.024929726075525e-07
1-3C-rep1,3.054780369048989e-06,0.00033442987840188543,6.85259352049853e-07,0.9874815211363962,0.012145192739199246,2.6922894530011873e-06,2.551105971088876e-06,3.505888784119734e-06,5.010824128523825e-07,9.965573301370903e-07,1.1591687343399081e-06,1.2838648162842945e-05,4.956262319670183e-06,1.3128273226871133e-06,1.0827274724397039e-06,1.923008212272263e-06,5.513309466390715e-07,1.0453091594600776e-06
