,4_1,4_2,4_3,4_4
3-3B-rep2,0.3532834717246135,0.4194416863068807,3.167305764297701e-06,0.2272716746627414
3-3C-rep1,0.6381290605802873,0.36184835304742724,5.318293291398861e-06,1.7268078994064936e-05
3-3C-rep2,7.557716594905888e-07,0.8943036759514773,0.00034430171700646037,0.10535126655985685
3-4A-rep1,0.9252411516477923,0.07473752851294654,5.020069477407754e-06,1.629976978361986e-05
3-4A-rep2,1.363668037029725e-06,0.6596813492051747,3.346620237857834e-06,0.34031394050655034
3-4A2-rep1,1.14571522533609e-06,0.709985738018307,2.8117354486677232e-06,0.290010304531019
3-4B-rep1,0.5932370522736456,0.07821329953865014,0.00012610830725673144,0.32842353988044737
3-4B-rep2,0.577410931331849,0.04531739222222854,5.125776624772181e-06,0.3772665506692977
3-4B2-rep1,0.6269031351953305,0.10262303482731204,3.9805708038814595e-06,0.27046984940655355
3-4C-rep2,0.6812360353862503,0.17596489144314267,0.06706944739549102,0.07572962577511588
3-4C2-rep1,1.2373288774223582e-06,0.46940557569089625,0.1902018094575468,0.34039137752267945
3-5A-rep1,1.186443123540539e-06,0.12801858495572846,0.0937448328291347,0.7782353957720132
3-5A-rep2,9.074598531358092e-07,0.11271838421574328,0.08686363078182774,0.8004170775425758
3-5B-rep1,1.8682822834923237e-06,0.4532225110495079,4.585009789908545e-06,0.5467710356584187
3-5B-rep2,1.295240950651632e-06,0.3976207490736991,3.1786911921720764e-06,0.602374776994158
3-6A-rep2,2.0615615366050154e-06,0.8238963166760865,5.059342429862385e-06,0.17609656241994687
3-6C-rep2,1.5504836498773759e-06,0.717649781209905,3.8050902567530072e-06,0.28234486321618835
3-7A-rep2,2.3018442173166827e-06,0.16284677023534372,0.5278871266311383,0.30926380128930064
3-7B-rep2,2.1434004964477685e-06,0.046869913565971213,0.915841290289101,0.03728665274443127
3-7C-rep2,1.3068413118092593e-06,0.49659070931232263,3.207160000094813e-06,0.5034047766863654
3-8A-rep1,1.47128164056322e-06,0.32899898404223565,3.6107181368145676e-06,0.670995933957987
3-8A-rep2,1.1081773928332265e-06,0.24792936866050472,2.719612683795247e-06,0.7520668035494186
3-8B-rep1,1.2003165547441969e-06,5.487248627388204e-06,0.9092927158435349,0.09070059659128292
3-9A-rep2,3.496592945329385e-07,0.7252124197537847,8.581097742731047e-07,0.2747863724771465
4-10A-rep1,0.6235996941006988,0.3763886770905751,2.738173915367694e-06,8.890634810706473e-06
4-10A-rep2,0.633238089150977,0.3666459942405745,2.299718053762682e-06,0.00011361689039480203
4-10B-rep1,0.2573839570289862,0.6901430070653101,2.2984981271780753e-06,0.052470737407576615
4-10B-rep2,0.3001327566286866,0.6998552265124548,2.829546021974671e-06,9.187312836586536e-06
4-10C-rep1,0.4728143576586987,0.5098701795593196,0.01730434848451663,1.1114297464967122e-05
4-10C-rep2,0.5118278218556421,0.4879087720016559,2.7278309592982277e-06,0.00026067831174255357
4-11A-rep1,7.0613909342651e-07,0.8812875194774118,0.11202702454425656,0.00668474983923825
4-11A-rep2,7.110017066609639e-07,0.8778122112949024,0.1221814121784243,5.6655249667038415e-06
4-11B-rep1,1.5755265259124668e-06,0.9962341058442513,0.003751764250260402,1.255437896229641e-05
4-11B-rep2,7.438315263353594e-07,0.9967896542471826,0.0031194156031072195,9.01863181839257e-05
4-11C-rep1,1.2367221857145827e-06,0.910676908820188,0.089311999797146,9.854660480278704e-06
4-11C-rep2,1.4575566385303858e-06,0.9303903230833226,0.06365271649863193,0.005955502861406921
4-12A-rep1,4.897275287007785e-07,0.9895928454869409,1.2018555939435014e-06,0.010405462929936474
4-12C-rep1,1.002413676767178e-06,0.9549657096316694,2.460054651336962e-06,0.04503082790000264
4-12C-rep2,1.0790844947012481e-07,0.9599237837135751,2.6482148956073784e-07,0.040075843556485885
4-1A-rep1,9.738265587303271e-08,1.1476424818098583e-05,0.8526764727832656,0.14731195340926043
4-1A-rep2,7.492926862851251e-07,3.425392450082719e-06,0.8414805290757351,0.1585152962391286
4-1B-rep1,1.2952080887318475e-07,5.921045393388372e-07,0.7309914970161971,0.2690077813584547
4-1B-rep2,1.3672585039513088e-06,6.250423956445845e-06,0.6351633212944663,0.3648290610230733
4-1C-rep1,1.0758327558539228e-06,4.91817078546983e-06,0.9405750852241294,0.05941892077232939
4-1C-rep2,3.275275974445545e-07,1.4972928203030574e-06,0.9459387862014363,0.05405938897814591
4-2A-rep1,1.027976993895547e-06,0.9777469933396171,2.5227903847599724e-06,0.022249455893004335
4-2A-rep2,1.8919053694978463e-06,0.9950492632527469,0.0046123046702882566,0.0003365401715953712
