,15_1,15_2,15_3,15_4,15_5,15_6,15_7,15_8,15_9,15_10,15_11,15_12,15_13,15_14,15_15
1-5B-rep2,1.4781176267113612e-06,6.882430684790538e-07,1.9472218549746242e-07,9.23367480179846e-07,3.655335494289125e-05,5.786780300123129e-07,4.4013320682847297e-07,2.8662492679632784e-07,1.46562678644465e-06,7.627312217337649e-07,5.08916152384586e-07,0.9999530376633096,1.3740551660782715e-06,8.822003444754995e-07,8.255655520129792e-07
1-5B-rep3,0.08644820802846294,1.294551829712839e-06,3.662629862418943e-07,1.7368094437997711e-06,8.765200275168128e-06,1.0884653066285986e-06,8.278692141082128e-07,5.391275850339893e-07,2.7567728974895065e-06,0.00456066610375607,9.572465984957967e-07,2.227368853123623e-07,2.5845311211109445e-06,0.04001491427995891,0.868955072013679
1-5C-rep1,0.003643445933767735,2.1811849026154504e-06,6.171149564207729e-07,2.9263428860753535e-06,0.571704626494842,1.8339505915075144e-06,1.3948733374031882e-06,9.083737877999944e-07,4.644874995292687e-06,2.4172532958096303e-06,1.6128607451601041e-06,3.7528843600389636e-07,4.354665554763819e-06,0.011525540539288007,0.4131031202486134
1-5C-rep2,3.34023846121435e-05,6.888802191759281e-07,1.949024522983483e-07,9.242223006065417e-07,3.658719472514496e-05,5.792137493344167e-07,4.4054066633266825e-07,2.8689027385206123e-07,1.4669836110479178e-06,7.634373308857677e-07,5.093872886676714e-07,0.9539840202072147,1.3753272169665504e-06,0.004087014037502856,0.04185174639083601
1-5C-rep3,2.4539042362472214e-06,1.1425901097371409e-06,3.23268992432392e-07,1.5329330563951864e-06,0.6905547640783755,5.3908634736538625e-05,7.306893045802027e-07,4.7584177968598504e-07,2.433167506442459e-06,1.2662519831353002e-06,8.448796494022442e-07,1.9659078639440354e-07,2.281144431230896e-06,1.4645892339053498e-06,0.3093761814358185
1-6A-rep1,0.1876942903940568,1.3885103730224199e-06,3.928463457224794e-07,1.8628670350064122e-06,0.8122231089920907,1.167466094628354e-06,8.879559434481341e-07,5.782574532904363e-07,6.730081153395586e-05,1.5387880557167254e-06,1.0267235355471835e-06,2.3890312354625753e-07,2.7721163329998572e-06,1.779813536074085e-06,1.665554489510836e-06
1-6A-rep2,2.0316792979729572e-06,9.459931800646392e-07,2.676465160701974e-07,1.269172737001113e-06,0.02959677425536303,7.95395543982219e-07,6.04965064014134e-07,3.9396724559108975e-07,2.014510582083528e-06,1.0483774803239755e-06,6.995075307397841e-07,0.9703889185526062,1.8886449797673333e-06,1.2125883245998823e-06,1.1347435487094135e-06
1-6A-rep3,2.5177598195373046e-06,1.1723226302002559e-06,0.7907116626580987,1.572823094895818e-06,0.20921641136727928,9.856944170644907e-07,7.497033276454017e-07,4.882241513966709e-07,2.4964834778122184e-06,1.299202437265077e-06,8.668651376807143e-07,2.0170647882821622e-07,2.3405044527319546e-06,1.502700827027022e-06,5.5731984370067926e-05
1-6B-rep1,0.3700182336038389,2.456829213464151e-06,6.951020297188956e-07,3.296155535691629e-06,0.626761659134048,2.0657136329261906e-06,1.5711485808952415e-06,1.0231683045009463e-06,5.231864830735144e-06,2.7227304326040557e-06,0.003189620622380124,4.227150077666749e-07,4.90498056216192e-06,3.1492007369217823e-06,2.94703086555949e-06
1-6B-rep2,0.34506116319968294,8.935804956302605e-07,2.5281758000346e-07,1.1988543123454399e-06,0.652276926663568,7.513267107963365e-07,5.714470179412965e-07,3.721395185463385e-07,1.9028967674667612e-06,0.002651151293217213,6.607513660646534e-07,1.5374690437594242e-07,1.7840047398383785e-06,1.145404955263411e-06,1.071873163609608e-06
