,3_1,3_2,3_3
3-5B-rep1,0.5162972092996925,0.4058196669524023,0.07788312374790526
3-5B-rep2,0.5576991299889921,0.36013563632940704,0.08216523368160088
3-6A-rep2,0.3075745038075433,0.6924234303446802,2.0658477765105566e-06
3-6C-rep2,0.3817552412027094,0.6182432050898907,1.553707399917394e-06
3-7A-rep2,0.2881451867113258,0.7118525066587122,2.306629961939153e-06
3-7B-rep2,0.0047534615571950024,0.9952443905859386,2.1478568666135024e-06
3-7C-rep2,0.6462599280449619,0.35373876239651314,1.3095585248933276e-06
3-8A-rep1,0.7930774857809062,0.20692103987836394,1.4743407298592773e-06
3-8A-rep2,0.8529947759916386,0.147004113526793,1.1104815684106747e-06
3-8B-rep1,0.08845811628142519,0.9115406809062789,1.2028122959846876e-06
3-9A-rep2,0.3112066189360233,0.688793030677619,3.5038635768084156e-07
4-10A-rep1,7.302801769143625e-05,0.8135667194351776,0.18636025254713115
4-10A-rep2,8.25931698972097e-06,0.8070103303925728,0.19298141029043747
4-10B-rep1,0.1188860946172448,0.8693365811272913,0.011777324255463864
4-10B-rep2,0.04291408598130729,0.939322403583731,0.01776351043496185
4-10C-rep1,0.002935280492754702,0.9239886499882403,0.0730760695190052
4-10C-rep2,0.0002616180849235121,0.9392372192350416,0.060501162680035046
4-11A-rep1,0.055558924876382976,0.944440367516248,7.076073689153401e-07
4-11A-rep2,0.01184569280403257,0.9881535947158749,7.124800925314316e-07
4-11B-rep1,1.3886506278733528e-05,0.9999845346913817,1.5788023396756726e-06
4-11B-rep2,0.00017507441437678855,0.9998241802074511,7.453781720490537e-07
4-11C-rep1,0.030621105240008162,0.969377655466375,1.2392936169456819e-06
4-11C-rep2,0.030805485504321842,0.9691930539084849,1.4605871934204355e-06
4-12A-rep1,0.09328550588151008,0.9067140033726566,4.907458333744692e-07
4-12C-rep1,0.11878281945334751,0.8812161760486952,1.0044979572550844e-06
4-12C-rep2,0.10112045635231695,0.8988794355148509,1.0813283204528621e-07
4-1A-rep1,0.05750119548890867,0.9424987069259398,9.758515146731459e-08
4-1A-rep2,0.0835688080615715,0.9164304410877416,7.50850686828836e-07
4-1B-rep1,0.22973158112219746,0.7702682890876711,1.2979013136988865e-07
4-1B-rep2,0.32928536123225216,0.670713268666421,1.370101326953878e-06
4-1C-rep1,0.06782867013129477,0.9321702517990217,1.0780696834735788e-06
4-1C-rep2,0.0575286468651038,0.9424710249262541,3.2820864205589856e-07
4-2A-rep1,0.12221955287360434,0.8777794170119719,1.0301144237672738e-06
4-2A-rep2,0.039878296497201315,0.9601198076638834,1.8958389154572637e-06
4-2B-rep1,0.2741949979450624,0.725804122761753,8.792931845611822e-07
4-2B-rep2,0.2870063371483862,0.7129912205803284,2.4422712853943936e-06
4-2C-rep1,0.18693101505062346,0.8130681160204871,8.689288894081414e-07
4-2C-rep2,0.10348541850282499,0.8965138387786893,7.427184857462332e-07
4-3A-rep1,0.1476695004957914,0.8521721685709216,0.00015833093328704501
4-3B-rep1,0.3145532221853416,0.6854452761951548,1.5016195036603779e-06
4-3B-rep2,0.23767008284965432,0.7623292028869161,7.142634295530815e-07
