,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8
1-4C-rep1,2.622091426069813e-06,7.851125333380474e-07,1.711604712841461e-05,2.9927378248241725e-06,6.33092725611182e-06,0.9999608546846857,4.625818093038876e-06,4.672581052565767e-06
1-4C-rep2,5.826694912528842e-07,0.011593678234267187,3.803451845125785e-06,6.65032885011667e-07,0.9883974796777543,1.7246848667014664e-06,1.0279287167874619e-06,1.0383201736093368e-06
1-4C-rep3,1.1588789064903331e-06,3.4699413798488463e-07,9.574244015586735e-05,1.3226925283238212e-06,2.7980634018660527e-06,0.9998945213416587,2.0444607537271133e-06,2.0651284569437025e-06
1-5A-rep1,2.7319190117911365e-06,8.179973569558543e-07,0.1643378344594989,3.1180901167882937e-06,6.596101250047747e-06,0.8356392135656101,4.819572753190436e-06,4.86829440221799e-06
1-5A-rep2,7.588186896870288e-07,0.9999866526890475,4.953288937782142e-06,8.660816980793649e-07,1.832135171650861e-06,2.246081406904238e-06,1.3386860538847025e-06,1.3522189945446968e-06
1-5A-rep3,1.2518807747816648e-06,3.748409673110542e-07,0.16708387379064482,1.4288406993019653e-06,3.0226124229188512e-06,0.832905608644235,2.2085319683122164e-06,2.2308582874563793e-06
1-5B-rep1,3.238885327137894e-06,9.697943554135088e-07,0.057812001883571454,3.6967187842577954e-06,7.820149668744613e-06,0.9421607869090749,5.713948109738299e-06,5.771711108373403e-06
1-5B-rep2,8.383199339625433e-07,0.9999533609156783,3.736562272051137e-05,9.568208609088396e-07,2.0240875152169535e-06,2.4814027939758107e-06,1.4789398568346638e-06,1.4938906403019036e-06
1-5B-rep3,1.5768393993150765e-06,4.721408121604312e-07,0.05580090832861979,1.7997339326480113e-06,3.8072110805830514e-06,0.9441858439952434,2.781814604421054e-06,2.809936307683362e-06
1-5C-rep1,2.6568106872977897e-06,7.955082529027078e-07,0.7195828587168529,3.032364836031275e-06,6.414755422832048e-06,0.2803948203241722,4.6870688126623505e-06,4.734450963187489e-06
1-5C-rep2,8.390960205757287e-07,0.7025595376512147,5.477309788151125e-06,9.577066514421244e-07,2.025961343049068e-06,0.29742818669234483,1.480309006461311e-06,1.4952736308291849e-06
1-5C-rep3,5.433969745348155e-05,4.167182705900506e-07,0.8116483072546966,1.5884710506247647e-06,3.3602992505819433e-06,0.18828705219950906,2.4552695746678757e-06,2.4800901943806524e-06
1-6A-rep1,6.603526328333367e-05,5.064087950976691e-07,0.9319692010957661,1.930358632117105e-06,4.083538483314658e-06,0.06795224573481376,2.9837187248521178e-06,3.0138815015034202e-06
1-6A-rep2,1.1522745861010884e-06,0.9759567297227186,0.023679823099272447,1.3151546525504447e-06,2.7821175536226777e-06,0.0003541114620921634,2.0328096021139197e-06,2.053359522417223e-06
1-6A-rep3,1.4279570790325332e-06,0.7993498128304712,0.20063439116539705,1.6298063142106167e-06,3.447741105562879e-06,4.226711714751118e-06,2.519160707593026e-06,2.544627210564291e-06
1-6B-rep1,2.99256179602935e-06,8.960396077313227e-07,0.8714291040689502,3.4155761279173425e-06,7.225412070576948e-06,0.12797650309820593,0.0005745304819931793,5.332761248419804e-06
1-6B-rep2,1.0884328793251785e-06,3.259010295214107e-07,0.8787427380870273,1.2422885851166417e-06,2.6279744915288746e-06,0.1212481175408265,1.920181903720834e-06,1.939593256878687e-06
1-6C-rep2,1.0311727158635134e-06,3.087560621309634e-07,0.8437338110535642,1.1769343967220005e-06,2.489722283408035e-06,0.15625752564046644,1.8191651742819417e-06,1.837555336996228e-06
1-7A-rep1,3.7323661442881463e-06,0.0018470607530763157,0.08933961524514233,4.259955707511966e-06,9.01163793059658e-06,0.9087830844126757,6.584532739185338e-06,6.6510965840648785e-06
